label,1X1,1X2,1X3,2X1,2X2,2X3,3X1,3X2,3X3,4X1,4X2,4X3,5X1,5X2,5X3,6X1,6X2,6X3,7X1,7X2,7X3,8X1,8X2,8X3,9X1,9X2,9X3,10X1,10X2,10X3,11X1,11X2,11X3,12X1,12X2,12X3,13X1,13X2,13X3,14X1,14X2,14X3,15X1,15X2,15X3,16X1,16X2,16X3,17X1,17X2,17X3,18X1,18X2,18X3,19X1,19X2,19X3,20X1,20X2,20X3,21X1,21X2,21X3,22X1,22X2,22X3,23X1,23X2,23X3,24X1,24X2,24X3,25X1,25X2,25X3,26X1,26X2,26X3,27X1,27X2,27X3,28X1,28X2,28X3,29X1,29X2,29X3,30X1,30X2,30X3,31X1,31X2,31X3,32X1,32X2,32X3,33X1,33X2,33X3,34X1,34X2,34X3,35X1,35X2,35X3,36X1,36X2,36X3,37X1,37X2,37X3,38X1,38X2,38X3,39X1,39X2,39X3,40X1,40X2,40X3
knee,13.45139,-9.107971,-5.697632,-1.404572,-2.432251,4.595947,18.22891,19.86084,-72.01233,-8.48999,-11.34644,11.48376,-20.63446,37.88452,41.33606,-2.424622,-7.50885,10.26001,-18.86444,47.97363,2.026367,2.276611,-20.61615,1.422119,-10.77194,38.96179,-3.796387,3.708649,-7.801819,51.1322,15.72571,11.15723,4.620361,-0.04730225,-56.78864,-16.07361,23.34595,-64.33868,60.51331,3.056335,-18.21289,-18.35022,-1.63269,-3.915405,16.32385,-1.835632,2.632141,-4.421997,-2.098846,-5.004883,10.43701,-2.960205,1.296997,1.565552,-9.05304,0.6469727,-22.05505,-8.731079,-2.883911,-5.276489,3.056335,5.278015,-16.71143,1.734924,10.06927,-32.05261,-1.290894,2.877808,-8.24585,7.539368,10.49805,-8.486938,-15.36942,13.03101,-48.17505,15.42587,21.81244,11.20911,15.03296,4.124451,-36.5509,-4.271698,-45.44067,102.301,0.0,0.0,0.0,153.933,-79.62952,-264.5538,-108.2451,8.004761,225.7355,5.276489,-18.8858,20.36438,-32.14493,51.79443,12.82043,21.10214,-44.69604,11.97815,16.29791,-24.23096,84.2865,-38.73215,40.7486,30.17273,-6.816864,8.493042,-31.31714,-7.616425,-15.51971,17.55066,-15.13901,36.85455,-39.55383,6.507111,10.37292,-27.08435
knee,66.6008,-165.8417,100.8087,-9.105682,7.250977,-5.648804,40.62958,-48.48633,18.64319,-39.03275,65.96527,3.546143,32.98569,-75.35095,102.2949,34.55353,-52.80457,-55.93872,5.400085,-12.33368,23.09265,5.741119,-4.58374,9.005737,-17.71698,33.13599,-85.73303,13.0928,-38.72528,89.07471,-33.80661,44.0918,-68.74695,-17.27295,10.08911,-1.382446,30.85632,-13.22327,-18.44788,-10.87494,-2.853394,-25.5127,-1.361084,-2.601624,-14.29443,10.01129,-7.328796,-112.6801,12.8067,4.273987,97.68677,17.65366,-4.344177,-30.59082,-21.10519,10.62164,84.8938,117.3538,-87.95013,-121.6705,-75.64926,19.4046,67.5415,-41.70456,68.54553,54.12903,15.48309,-64.59198,-74.73145,-3.949738,19.27032,59.55505,-0.9048462,-11.60889,-0.2746582,7.525635,-9.178162,61.07178,-1.841736,-1.390076,15.51208,-9.502411,-33.51135,105.5725,-6.809998,101.0101,-166.7053,0.0,0.0,0.0,-14.22729,-134.8511,221.0907,4.096222,105.8655,-151.0071,5.218506,1.78833,12.43286,6.47049,23.3963,-53.16467,1.140594,-0.8544922,2.130127,-2.698517,4.655457,-31.48193,-9.611511,20.9671,14.73083,0.1472473,-2.163696,-13.11951,-7.069397,-17.85736,-23.00415,16.53366,-0.9460449,21.39282
knee,-71.32187,91.47186,66.90674,63.92212,-92.46063,-57.33948,-15.42892,4.10614,41.59546,-22.37244,26.75323,19.64722,8.643341,-45.77637,103.9978,-17.29736,7.092285,28.39661,-25.9613,75.18921,-81.8573,-6.866455,0.2822876,10.10132,15.36102,24.81384,-64.54163,-25.73624,-18.53027,76.40686,2.67334,5.386353,-9.069824,23.0629,13.14392,-67.33704,-44.34891,-37.55341,141.0675,29.17175,10.94818,-81.21643,3.325653,5.525208,-60.45532,3.610229,7.833862,-10.40955,8.241272,13.24615,11.01379,-8.203888,-4.818726,-41.35437,4.659271,2.432251,11.13892,6.128693,2.748108,-25.76904,6.459045,17.94434,-54.94995,-9.043121,-18.30597,110.9344,1.482391,68.48755,-213.2935,-18.41049,-27.32697,156.192,16.9281,-41.16058,57.10144,-42.71393,105.7053,-75.49133,11.01074,-36.84845,27.59399,-8.493805,56.66504,-16.71753,3.395081,-27.02332,56.42395,0.1670837,51.18866,76.16577,23.68622,-143.4692,-23.99292,20.80841,-19.33289,12.28943,9.738159,-35.02808,54.63562,-9.584045,28.75977,-41.89148,-2.770996,2.658081,-1.513672,-5.24292,16.72516,-67.50183,-2.312469,4.626465,111.8195,10.26917,3.570557,-49.23401,4.066467,-2.854919,-1.101685,-6.214905,-9.25293,-59.75647
knee,0.0,0.0,0.0,-2.416992,1446.565,-115.2832,2.416992,-1446.565,115.2832,-18.54248,2567.142,-233.1238,9.858704,-1571.062,130.4688,7.534027,-757.9971,76.24817,-7.226563,1550.899,-185.5713,9.1362,-870.8481,75.01831,7.580566,140.7669,-15.78979,-8.340454,-1058.9,152.7496,-3.141785,2481.625,-336.6272,-5.819702,-1717.516,238.9435,-6.663513,187.1841,-20.60242,-19.46793,-27.70691,24.24316,9.18808,-870.5307,109.6924,-1.596069,22.11914,22.68066,-12.78152,10.56976,9.60083,-16.48636,-49.50714,102.2461,28.37372,-75.53406,-88.51318,13.26141,-10.32104,-42.93213,1.196289,-23.35205,-12.5061,0.5874634,0.1327515,-13.97095,6.70929,30.88379,-0.06103516,-15.1062,-88.54218,-12.64038,12.21771,83.99506,25.89111,-4.061127,-67.51099,3.613281,17.63382,102.6062,18.56384,-0.3036499,15.92865,-10.62927,4.178619,28.16772,7.232666,-2.732086,6.867981,-3.491211,-6.732178,21.73157,-7.830811,1.721954,1.159668,-2.655029,32.40738,252.3651,-39.06555,-18.28232,-235.1151,-14.73694,31.7894,-5.343628,-94.31152,-13.12103,-101.6129,76.35803,-13.83972,6.178284,41.09192,31.82526,-64.22577,-48.48022,-14.79263,25.8316,54.68445,4.316711,-16.30859,4.226685
knee,-13.99078,-56.71997,8.370972,-2.581787,-39.26086,-25.81177,23.07892,-29.28467,-0.8605957,-6.483459,-16.82434,52.6825,-10.09674,-55.00031,16.1438,28.08609,20.39642,-65.24963,-1.291656,-26.67847,10.97412,16.69693,1.321411,-39.5874,8.500671,-22.75391,-12.70752,-18.93845,87.81738,0.2563477,-1.152802,29.15955,-66.04004,-12.94403,41.64734,51.49231,14.09683,-70.80688,14.54773,-26.60828,131.2943,-33.75244,19.23599,-95.85571,21.6095,7.372284,-35.43854,12.14294,12.99667,189.8483,-241.0034,22.56088,-215.5334,118.2159,-35.55756,25.68512,122.7875,71.32187,-91.47186,-66.90674,-71.32187,91.47186,66.90674,63.92212,-92.46063,-57.33948,-15.42892,4.10614,41.59546,-22.37244,26.75323,19.64722,8.643341,-45.77637,103.9978,-17.29736,7.092285,28.39661,-25.9613,75.18921,-81.8573,-6.866455,0.2822876,10.10132,15.36102,24.81384,-64.54163,-25.73624,-18.53027,76.40686,2.67334,5.386353,-9.069824,23.0629,13.14392,-67.33704,-44.34891,-37.55341,141.0675,29.17175,10.94818,-81.21643,3.325653,5.525208,-60.45532,3.610229,7.833862,-10.40955,8.241272,13.24615,11.01379,-8.203888,-4.818726,-41.35437,4.659271,2.432251,11.13892,6.128693,2.748108,-25.76904
knee,-15.21225,17.84363,-11.74011,0.7644653,1.898193,-8.859253,-4.399872,-19.16809,-19.11316,0.2593994,4.455566,0.390625,1.286316,-1.467896,-76.89819,7.535553,8.859253,52.28271,4.805756,9.887695,19.58008,4.154205,15.65704,-22.84851,-10.47516,6.32019,29.55627,0.1319885,-0.1174927,-1.605225,-9.094238,38.78632,16.38794,-6.694794,44.54956,-1.119995,-27.771,95.98999,25.61646,-13.82217,-57.19452,-14.97192,-10.71777,-62.43744,17.89551,21.05408,-53.54309,-1.000977,8.745575,-13.62457,5.755615,-9.76944,-21.37299,63.55591,13.40256,0.7659912,-25.02136,-2.49939,-4.631042,-6.005859,11.33499,3.752136,-7.797241,4.7966,-2.238464,-13.05237,5.971527,-7.244873,-25.90942,10.47134,5.6427,-6.622314,-0.4074097,4.28772,8.737183,18.7561,-15.78369,-49.16992,-10.82458,24.67651,32.5531,3.671265,9.260559,-13.35144,31.0112,26.24664,-89.34021,10.37445,-51.5274,44.74487,-6.513977,-27.09656,27.91748,-4.854584,-5.836487,28.39661,-26.3504,20.56427,11.30371,39.36234,-96.89941,-14.24255,-20.89157,31.10809,61.3739,-2.028656,-5.813599,22.81189,-12.09106,-1.353455,3.088379,-25.26093,48.0545,-15.8844,-8.001709,-22.56165,16.19568,-14.63699,24.02344,5.215454
knee,6.995392,31.81763,-30.45654,8.180237,4.022217,-9.713745,-8.747864,-4.930115,28.76587,21.49963,7.504272,-41.54663,0.5775452,-3.312683,14.45618,11.29913,10.06775,-14.99023,8.21228,-0.3387451,-8.770752,-10.20584,-5.587769,-5.740356,-15.78522,-17.23022,-2.615356,7.782745,16.31775,-8.230591,9.51767,16.29944,-5.130005,-4.573822,-12.48322,-7.369995,3.288269,-9.909058,-28.1311,12.84561,23.04535,-18.27087,9.656525,18.00537,-19.04297,-9.184265,43.21747,-22.40601,-42.47818,15.03906,70.45593,9.366608,-51.21765,18.65845,10.03265,-37.38861,18.46619,-120.0554,253.0487,-110.0708,66.6008,-165.8417,100.8087,-9.105682,7.250977,-5.648804,40.62958,-48.48633,18.64319,-39.03275,65.96527,3.546143,32.98569,-75.35095,102.2949,34.55353,-52.80457,-55.93872,5.400085,-12.33368,23.09265,5.741119,-4.58374,9.005737,-17.71698,33.13599,-85.73303,13.0928,-38.72528,89.07471,-33.80661,44.0918,-68.74695,-17.27295,10.08911,-1.382446,30.85632,-13.22327,-18.44788,-10.87494,-2.853394,-25.5127,-1.361084,-2.601624,-14.29443,10.01129,-7.328796,-112.6801,12.8067,4.273987,97.68677,17.65366,-4.344177,-30.59082,-21.10519,10.62164,84.8938,117.3538,-87.95013,-121.6705
knee,79.29993,4.600525,-51.46179,-5.183411,76.80969,-22.4762,54.46777,-89.56757,49.67651,-54.46777,89.56757,-49.67651,59.19037,-60.34851,82.37305,-54.40216,54.28314,-74.06311,3.207397,-5.859375,8.383179,3.814697,-4.933167,7.098389,-20.88013,36.86523,-26.35498,-0.958252,1.748657,-0.7781982,10.02808,-21.75598,3.341675,5.316162,69.69299,-124.6674,13.56812,-30.44891,77.84424,18.10608,53.36304,-28.22876,40.58685,-15.60516,-123.8098,-77.57721,-77.00195,198.8617,68.05954,-50.0,-127.6093,-68.05954,50.0,127.6093,17.9039,-36.73248,-37.68311,11.57074,-30.5069,44.47937,-1.263428,31.90613,29.29382,-28.21121,35.33325,-36.09009,58.97446,-70.99762,78.18604,82.15027,-92.96722,164.9658,-143.6317,147.2778,-183.4778,2.507019,16.68701,-59.67407,-19.46716,-15.43274,98.27271,-2.890778,19.45648,-55.15747,-14.74915,4.940796,18.59131,11.8248,-0.5081177,-30.37415,-13.56888,2.882385,16.52527,23.3017,-15.5838,-24.15161,-2.848816,-1.828003,4.412842,18.39828,6.072998,-28.1189,26.62506,-22.67609,-63.0249,-26.62506,22.67609,63.0249,14.93454,-5.244446,-52.771,-7.421875,10.90698,6.729126,2.852631,0.8529663,-14.328,-10.3653,-6.515503,60.36987
knee,29.06265,-7.417297,-24.46594,-9.741974,20.26367,-21.92993,-10.16922,5.569458,4.376221,14.3013,-8.700562,-10.92529,-4.55246,-2.185059,-13.68103,20.03326,7.208252,-41.07666,4.897308,1.132202,-5.743408,-13.17902,6.256104,27.62756,-1.928711,9.254456,-0.2990723,0.8888245,5.999756,-8.502197,-15.26718,46.67969,-18.85376,-12.23831,-19.83643,45.19653,-14.00681,35.672,-2.560425,21.05179,-81.48041,28.81775,-161.1183,492.1143,-98.99597,114.3059,-383.5541,101.6296,9.655762,-21.92841,-25.68359,8.38089,-42.63611,1.455688,14.10904,-18.14117,19.74487,-3.471375,-3.17688,26.60828,7.378387,-9.585571,50.97046,6.070709,-12.39471,-45.87402,-1.099396,-5.198669,16.42456,5.788422,4.501343,-46.27991,-6.977081,-10.66742,46.46301,0.0869751,-4.496765,-45.70007,7.569885,14.46686,-23.0896,-0.7423401,-4.705811,-2.401733,0.06256104,5.403137,24.72839,16.59088,-12.00562,-61.60583,40.49301,-41.99677,58.31299,5.828857,-40.69824,-26.73645,-24.30649,43.73627,25.46692,7.219696,-11.96747,-4.159546,-45.82596,62.93182,8.721924,136.7256,-200.502,-10.28748,-71.14563,95.06378,27.66113,-15.54031,24.49493,8.834839,-7.919312,-0.2471924,25.80566,-32.76138,57.901,-22.68372
knee,11.33499,3.752136,-7.797241,4.7966,-2.238464,-13.05237,5.971527,-7.244873,-25.90942,10.47134,5.6427,-6.622314,-0.4074097,4.28772,8.737183,18.7561,-15.78369,-49.16992,-10.82458,24.67651,32.5531,3.671265,9.260559,-13.35144,31.0112,26.24664,-89.34021,10.37445,-51.5274,44.74487,-6.513977,-27.09656,27.91748,-4.854584,-5.836487,28.39661,-26.3504,20.56427,11.30371,39.36234,-96.89941,-14.24255,-20.89157,31.10809,61.3739,-2.028656,-5.813599,22.81189,-12.09106,-1.353455,3.088379,-25.26093,48.0545,-15.8844,-8.001709,-22.56165,16.19568,-14.63699,24.02344,5.215454,6.995392,31.81763,-30.45654,8.180237,4.022217,-9.713745,-8.747864,-4.930115,28.76587,21.49963,7.504272,-41.54663,0.5775452,-3.312683,14.45618,11.29913,10.06775,-14.99023,8.21228,-0.3387451,-8.770752,-10.20584,-5.587769,-5.740356,-15.78522,-17.23022,-2.615356,7.782745,16.31775,-8.230591,9.51767,16.29944,-5.130005,-4.573822,-12.48322,-7.369995,3.288269,-9.909058,-28.1311,12.84561,23.04535,-18.27087,9.656525,18.00537,-19.04297,-9.184265,43.21747,-22.40601,-42.47818,15.03906,70.45593,9.366608,-51.21765,18.65845,10.03265,-37.38861,18.46619,-120.0554,253.0487,-110.0708
