label,1X1,1X2,1X3,2X1,2X2,2X3,3X1,3X2,3X3,4X1,4X2,4X3,5X1,5X2,5X3,6X1,6X2,6X3,7X1,7X2,7X3,8X1,8X2,8X3,9X1,9X2,9X3,10X1,10X2,10X3,11X1,11X2,11X3,12X1,12X2,12X3,13X1,13X2,13X3,14X1,14X2,14X3,15X1,15X2,15X3,16X1,16X2,16X3,17X1,17X2,17X3,18X1,18X2,18X3,19X1,19X2,19X3,20X1,20X2,20X3,21X1,21X2,21X3,22X1,22X2,22X3,23X1,23X2,23X3,24X1,24X2,24X3,25X1,25X2,25X3,26X1,26X2,26X3,27X1,27X2,27X3,28X1,28X2,28X3,29X1,29X2,29X3,30X1,30X2,30X3,31X1,31X2,31X3,32X1,32X2,32X3,33X1,33X2,33X3,34X1,34X2,34X3,35X1,35X2,35X3,36X1,36X2,36X3,37X1,37X2,37X3,38X1,38X2,38X3,39X1,39X2,39X3,40X1,40X2,40X3
reverse,11.43799,10.36987,-9.051514,6.958008,-3.918457,0.7659912,-6.027222,-7.37915,-7.055664,-41.65955,-23.73352,18.50586,31.87256,24.37744,-43.68591,-31.87256,-24.37744,43.68591,23.88,11.54175,-53.75061,-17.59033,-13.83667,22.97363,-5.422974,-7.342529,-9.375,-14.9353,-19.99817,-34.74121,-3.555298,12.82959,31.61621,1.068115,9.359741,18.07251,-7.626343,-1.78833,-7.138062,-13.11035,8.612061,9.753418,37.29248,0.6225586,22.58911,-69.99817,7.476807,-44.62585,46.39893,-3.421021,29.03748,-45.04089,10.72998,-14.95361,32.79114,-7.376099,14.12659,35.849,-7.409668,16.41541,-26.29089,-7.513428,-13.50098,21.80786,-2.542114,49.10583,-0.6500244,-8.752441,6.878662,8.462524,6.512451,-40.10925,-3.329468,12.29553,-2.374268,0.0,0.0,0.0,17.00745,-10.56213,3.631592,-17.00745,10.56213,-3.631592,42.01965,12.86011,-47.19849,-17.03491,-13.98315,50.56458,-14.4928,0.189209,2.783203,32.95593,-4.47998,26.98975,-10.20813,0.4516602,-1.983643,-33.23975,4.962158,-31.1554,72.45483,-3.57666,72.41821,-72.45483,3.57666,-72.41821,149.585,4.977417,150.5096,-72.61963,19.7876,-54.73938,-71.04492,-20.01343,-83.05969,27.80151,24.19739,63.25378
reverse,32.04651,-36.45325,22.71118,0.9643555,28.50037,-7.040405,15.58228,-36.38611,15.34424,1.931763,39.59961,-11.27014,8.135986,24.38965,-9.005737,-1.382446,-19.95239,3.878784,-2.862549,-66.71143,27.05383,-4.241943,17.77954,-5.944824,-4.241943,-6.091309,-0.01525879,12.73804,-46.22803,14.83459,-32.47986,88.95874,-27.14539,10.18372,-40.12756,11.40442,-14.56909,4.779053,-28.2074,-6.610107,4.690552,0.5615234,33.078,-58.97827,32.61719,-0.6317139,-2.462769,-0.4760742,7.922363,-5.535889,13.9679,-1.351929,-5.020142,1.358032,4.885864,10.34241,-4.086304,0.6561279,-2.749634,-0.09765625,-1.083374,6.103516,0.1037598,23.172,59.89075,-28.1189,-2.246094,-17.7948,-0.189209,-20.9259,-42.09595,28.30811,35.18677,66.24451,-57.724,-18.8446,-36.72485,26.16272,-4.870605,-9.713745,25.9552,-11.47156,-19.80591,5.606079,10.51331,27.87476,-13.61389,-10.51331,-27.87476,13.61389,-18.6615,8.520508,-61.87439,-11.07483,-7.546997,28.89099,7.720947,-0.1312256,14.94751,-11.74011,4.299927,-8.908081,8.69751,-2.407837,15.86304,-2.056885,0.6469727,25.51575,27.11487,-3.381348,-14.43481,-33.21228,0.4760742,23.38562,7.63855,-4.351807,1.367188,2.69165,-3.979492,12.4115
reverse,12.99133,1.019287,4.580688,17.22717,5.697632,12.89673,-8.618164,14.30359,18.46619,-14.17542,-5.102539,-10.42175,-12.05139,7.095337,25.21973,-17.73071,-10.73608,-27.28577,0.003051758,-7.757568,-24.54529,-35.72083,22.3175,108.2153,15.21606,-24.86572,-77.48413,-1.495361,-5.111694,0.3540039,-6.686401,-10.58655,12.08801,-23.60229,-76.37329,77.48718,48.63892,55.2948,-61.09009,1.147461,17.49878,-37.42981,1.296997,-4.156494,3.027344,1.205444,25.98267,-25.16785,12.91809,-68.72559,50.10986,-4.998779,43.60352,-36.14502,14.31274,-38.64746,19.28711,16.24451,-25.36926,8.425903,26.28784,-49.37744,13.75122,-49.57275,108.7463,-41.61987,0.8453369,-1.528931,-0.2410889,12.35352,-24.45984,16.60156,-15.55786,29.51965,-16.65955,-1.419067,-0.4394531,0.6652832,1.89209,-5.578613,1.678467,18.79883,-55.84106,14.45618,8.114624,-22.27173,-0.1251221,-29.44946,80.68542,-23.50769,2.481079,-5.74646,0.8728027,13.89771,-34.6405,5.862427,-27.14844,70.07141,-13.41248,19.1925,-48.61145,7.592773,-9.002686,3.417969,-9.677124,-10.18982,45.19348,2.084351,-48.21472,33.10242,-23.83118,-55.58472,64.78271,-23.7793,59.22241,-45.61462,27.8717,-7.485962,14.28833,-2.841187
reverse,97.92786,-145.0317,-41.28418,-109.314,148.4894,33.62732,-0.1983643,-3.793335,-3.179932,-13.71765,18.39294,5.53894,2.548218,-7.86438,-4.284668,-2.224731,-14.4104,-12.146,-7.150269,22.14661,9.918213,-8.355713,1.168823,-6.259155,1.821899,11.31897,9.65271,-2.752686,10.98328,5.557251,-4.226685,11.68823,4.382324,3.231812,10.91309,8.868408,-0.4119873,0.9857178,-0.03662109,-0.3601074,9.054565,4.040527,0.7476807,-0.6469727,0.04882813,-3.164673,5.993652,0.894165,-92.52319,181.8085,21.59729,50.67139,-129.3304,-25.06409,-9.698486,5.194092,-3.930664,22.87292,-33.65479,-2.145386,-41.81519,60.89783,-6.863403,22.50061,-33.10547,-1.712036,-18.60657,54.54102,-3.869629,31.44836,-28.03955,2.072144,21.79565,-26.78223,3.656006,1.245117,-4.904175,-1.971436,21.96655,4.467773,3.646851,4.348755,-44.82422,2.243042,-0.4516602,3.155518,-7.647705,0.9521484,-8.816528,2.682495,-3.872681,2.27356,8.401489,1.367188,10.62012,0.982666,2.993774,39.1571,-5.603027,10.9375,-4.550171,32.63245,-16.76025,-64.89258,-25.91858,0.3234863,1.242065,0.2563477,-0.1495361,-14.01978,0.04272461,-9.399414,34.34448,-12.58545,1.855469,-21.18835,5.734253,4.397583,-7.629395,4.064941
reverse,-7.550049,33.76465,8.279419,-11.34033,58.85925,24.51477,1.364136,1.739502,-1.376343,-20.94727,31.1615,15.86609,26.64795,-24.53003,-20.33997,-30.58167,27.52075,13.93433,-5.532837,1.577759,0.4150391,-11.16638,14.98108,20.0531,0.0,0.0,0.0,-14.73999,-7.254028,-18.32581,15.58228,12.70752,25.18005,13.54675,11.99341,16.56799,-7.955933,-9.854126,-13.36365,8.947754,17.08069,18.98193,4.916382,18.60657,16.63818,-62.98218,51.08643,14.91089,6.079102,-18.76221,-17.03491,-33.48694,36.21826,4.074097,-11.85608,-11.73096,-25.05798,28.22571,-30.36194,-12.92725,-25.27161,42.02881,-3.833008,19.99817,-3.335571,-5.075073,31.01807,-40.48767,-2.39563,9.579468,-2.719116,-1.196289,23.13538,8.850098,-2.774048,9.780884,16.43372,-4.800415,-5.587769,-74.97864,9.912109,5.371094,9.829712,-3.024292,-14.30054,-25.35095,3.543091,-0.1190186,49.84741,-25.83313,-6.314087,-11.87134,1.971436,6.433105,-37.97607,23.86169,-27.79846,183.7585,-124.7955,37.05444,-84.729,64.70337,9.20105,-45.78247,12.45728,-15.13367,-48.39478,39.22119,4.016113,3.326416,-11.29761,5.450439,-9.820557,-30.74646,-12.78992,1.641846,50.45776,7.104492,-5.505371,-30.78613
reverse,-0.08544922,8.456421,-21.45996,20.15686,22.85767,-105.3467,-10.35461,-35.96191,72.3877,-1.23291,-8.679199,-13.31177,-4.75769,-5.117798,-2.612305,-2.185059,3.469849,35.34851,-12.07886,-14.3158,-46.61255,-1.467896,10.48889,42.06543,-12.97607,-0.4364014,-6.442261,-56.48499,-10.11658,-46.57898,22.8241,5.825806,37.0636,-7.345581,2.310181,-12.52441,33.13599,6.948853,30.04456,11.66382,0.8026123,4.360962,3.384399,0.9033203,4.980469,4.187012,-1.38855,11.10535,-0.4364014,-2.758789,2.893066,-7.867432,-17.6178,7.888794,11.72485,0.7232666,13.24463,10.0708,25.83313,15.68604,0.8544922,1.263428,-1.940918,1.708984,3.564453,-3.375244,3.292847,14.03809,13.70544,7.128906,-0.6713867,-24.4812,3.659058,3.884888,-0.1556396,1.870728,-6.896973,0.8605957,45.98694,22.52502,12.38403,22.32971,-4.104614,32.04041,-54.39148,-26.12305,-15.79895,25.55542,4.580688,23.92883,-22.77832,-4.101563,-26.44958,3.411865,1.031494,13.32397,46.06934,12.06055,48.64502,-37.80518,-7.733154,-4.495239,-7.424927,-2.874756,17.59949,0.7019043,-2.301025,1.763916,-18.50281,-9.048462,-9.002686,-9.863281,-7.012939,-22.32056,-5.661011,-32.52869,17.77039,0.02746582,13.31177,-45.80078
reverse,-1.461792,-0.8422852,-36.65771,-5.6427,6.347656,67.44385,2.56958,-16.26892,-132.84,-9.265137,9.259033,94.78455,-2.365112,0.8026123,6.427002,5.194092,4.095459,21.17615,-9.09729,-5.389404,-24.4812,-13.50403,-0.04882813,-8.123779,5.169678,1.599121,11.19995,-52.92969,1.727295,-25.90332,-3.005981,-2.316284,-1.73645,36.12061,1.446533,25.39673,41.11328,5.093384,34.10034,0.0,0.0,0.0,-71.35925,-15.53955,-49.88098,44.0155,3.311157,63.07678,-1.315308,-15.75317,35.07385,29.96216,9.384155,-63.25684,2.7771,-6.362915,-11.16028,-0.3845215,25.14954,21.47522,0.6408691,0.0213623,-0.7629395,-4.336548,-0.2105713,5.435181,17.24854,24.63379,-42.78564,-17.24854,-24.63379,42.78564,16.02783,26.75476,-38.85803,28.22266,-0.579834,39.75525,-7.797241,-11.1908,17.81006,10.43396,-5.57251,9.500122,-1.135254,-7.617188,2.438354,-45.75195,-1.794434,-30.64575,48.56873,0.9765625,32.95898,13.51318,0.7781982,9.793091,-19.3573,3.662109,-9.799194,-3.625488,0.3143311,-1.455688,-39.09912,-5.731201,-31.49719,106.0547,70.55054,234.9792,-96.9696,-53.55835,-162.6282,-2.081299,-1.519775,7.25708,-6.781006,-13.84277,-65.67383,1.196289,6.460571,60.18982
reverse,18.05115,-26.27563,9.973145,-126.9623,203.1433,-94.43054,97.68372,-147.0764,64.88953,-0.03662109,19.65637,-9.991455,14.72168,-10.19287,6.19812,1.461792,14.91394,-10.08606,15.6311,-68.37158,37.96082,1.858521,5.862427,-2.993774,-1.898193,0.4272461,0.4394531,2.151489,23.27881,-9.77478,-5.996704,-14.96582,13.95569,0.8361816,-5.53894,0.8789063,-14.73083,78.43933,1.992798,10.97717,-47.33582,26.9989,-10.05859,-24.36829,-26.95618,8.508301,-16.33911,0.6164551,-13.65356,21.36841,-7.766724,9.533691,-16.56189,2.255249,-15.47852,23.72437,-24.38354,25.45166,-40.06348,30.19714,-17.48047,37.24365,-87.22534,19.37561,-25.32959,20.11414,-1.895142,-11.91406,67.11121,12.74719,-5.13916,-161.5967,-13.81836,-3.848267,108.1512,-0.8026123,3.869629,24.823,-3.793335,-4.495239,-25.4425,-10.95581,-2.658081,-38.86414,16.62292,12.27112,92.92908,-39.37378,-22.40906,-142.4652,-3.695679,-5.441284,4.519653,23.32458,14.2395,95.73364,19.74487,13.61084,42.21191,-64.17236,-43.56995,-123.9441,30.05981,21.12427,62.55188,11.49597,8.053589,19.4397,-2.783203,-1.953125,-5.410767,-8.068848,4.003906,32.8949,-7.397461,-5.267334,-0.1251221,5.664063,2.658081,-1.055908
reverse,14.03503,-17.13562,-4.940796,-28.29285,39.19983,-9.408569,6.628418,2.355957,-8.889771,14.08386,-16.90369,3.323364,-18.11523,71.60645,-22.52808,30.82886,-68.98193,20.08057,19.07349,-22.72339,14.88953,0.378418,26.16577,-7.202148,4.751587,-29.55322,5.236816,1.217651,-0.1220703,-0.579834,-2.038574,7.116699,1.303101,0.0213623,17.55371,-4.779053,-8.389282,5.102539,-5.981445,4.098511,-8.514404,1.818848,-2.716064,-13.78784,3.701782,3.311157,-21.5332,10.495,-0.9216309,-5.67627,-17.14172,-0.9033203,9.869385,-14.35852,6.463623,-5.92041,-4.693604,4.959106,-0.2807617,-3.701782,3.936768,-29.12598,-80.24597,1.708984,-3.042603,53.96423,-0.7843018,-11.03516,4.400635,-8.999634,9.664917,48.83118,-1.080322,7.147217,17.84058,-10.79407,-51.89514,-130.8105,-1.715088,42.59644,103.7445,-10.32104,0.2746582,-3.265381,-51.1322,-12.09412,-45.63599,-2.905273,4.983521,11.67908,17.64221,0.8605957,10.25696,27.12708,-0.7080078,14.56299,20.04395,9.915161,24.81079,-20.91675,-20.29419,-40.78064,15.30151,11.78589,36.203,-0.5645752,-0.8361816,26.31531,0.4333496,1.409912,1.004028,6.777954,12.12769,-2.682495,-3.833008,-1.037598,2.313232,6.643677,4.956055,1.635742
reverse,2.774048,0.9887695,-1.586914,7.476807,-0.5950928,-1.043701,0.1617432,0.04577637,0.7232666,9.255981,-0.5126953,0.1556396,3.100586,-0.1251221,0.6011963,39.0625,2.41394,-1.940918,11.84387,-0.4455566,-2.008057,-31.08215,-0.6439209,-8.096313,39.59961,1.318359,-20.61462,-33.00781,-3.271484,28.03955,-4.055786,-0.006103516,7.385254,0.8514404,0.9521484,1.147461,1.858521,2.139282,2.554321,22.54028,12.32605,19.7876,-4.119873,9.689331,5.526733,-24.24316,-7.141113,-5.828857,-24.17603,5.108643,43.61877,-7.080078,-10.22339,-22.79663,-5.46875,-6.164551,7.128906,-3.283691,-3.964233,29.49829,-11.65466,-9.719849,-24.14551,5.157471,-0.4333496,3.588867,-37.55798,-73.64502,43.56384,27.00195,-3.842163,-14.59351,17.84363,26.3092,-44.38782,6.655884,11.60278,-13.84888,-6.814575,19.01245,-27.42004,1.699829,3.872681,-3.170776,-5.273438,-10.18066,-6.051636,-0.2105713,-6.329346,9.628296,13.87939,-52.79541,11.40137,3.662109,-1.834106,-5.929565,10.14709,22.14355,-25.85144,-1.660156,19.48242,-6.045532,3.118896,-7.095337,-9.011841,-2.560425,9.234619,-1.889038,5.554199,-19.63196,-8.670044,3.143311,-12.10938,-7.092285,13.15002,-20.78247,-6.790161,20.23621,-40.40527,-19.67468
