a_x,a_y,a_z,g_x,g_y,g_z,label,
-4.58,-0.86,2.05,-0.21,0.83,-0.03,highknee,
-3.09,-0.35,1.6,-0.78,-0.19,-0.02,highknee,
-1.98,0.49,1.12,-0.86,-0.38,0.09,highknee,
-1.3,0.77,2.16,-0.5,0.15,0.2,highknee,
-0.73,0.5,0.74,-0.18,0.42,0.26,highknee,
-0.93,0.63,0.79,-0.14,0.85,0.22,highknee,
-1.96,0.95,1.47,-0.13,1.25,0.22,highknee,
-2.56,1.23,0.97,-0.09,1.27,0.32,highknee,
-3.12,0.63,0.73,-0.13,1.45,0.38,highknee,
-3.15,0.89,2.58,-0.24,2.12,0.46,highknee,
-2.57,1.4,1.6,-0.14,1.56,0.33,highknee,
-2.35,1.12,2.93,-0.11,0.89,0.25,highknee,
-0.86,0.37,2.01,-0.15,0.13,0.2,highknee,
-0.22,-0.27,1.7,-0.07,0.29,0.18,highknee,
0.01,-0.85,1.89,0.02,0.33,0.24,highknee,
-0.06,-1.04,1.53,0.09,0.08,0.37,highknee,
0.06,-1.41,1.39,0.14,0.02,0.49,highknee,
0.24,-1.48,0.97,0.19,0.12,0.62,highknee,
0.41,-1.32,1.16,0.22,0.32,0.69,highknee,
0.59,-1.35,1.83,0.23,0.46,0.65,highknee,
1.03,-1.12,1.83,0.16,0.31,0.43,highknee,
1.4,-1.34,1.68,0.08,-0.03,0.28,highknee,
1.47,-1.4,1.3,0.17,-0.14,0.23,highknee,
0.56,-1.5,1.73,0.37,0.26,0.28,highknee,
-0.24,-1.69,3.01,0.51,0.6,0.29,highknee,
-0.09,-1.37,2.38,0.55,0.63,0.2,highknee,
-0.4,-1.74,2.68,0.47,0.37,0.04,highknee,
-0.22,-1.83,1.55,0.35,-0.26,-0.11,highknee,
-0.37,-1.9,0.49,0.3,-0.47,-0.1,highknee,
-0.73,-1.75,0.01,0.43,-0.18,0.13,highknee,
-1.09,-1.57,-0.15,0.44,0.2,0.22,highknee,
-1.46,-1.3,0.17,0.37,0.32,0.29,highknee,
