label,Acceleration_max(3-axis)_x,Acceleration_max(3-axis)_y,Acceleration_min(3-axis)_x,Acceleration_min(3-axis)_y,Acceleration_pv(3-axis)_x,Acceleration_pv(3-axis)_y,
knee,0.02,0.04,-0.05,-0.01,0.07,0.05,
knee,0.02,0.06,-0.05,-0.01,0.07,0.07,
knee,0.02,0.06,-0.05,-0.01,0.07,0.07,
knee,0.01,0.06,-0.06,0,0.07,0.06,
knee,0.01,0.06,-0.06,0,0.07,0.06,
knee,0.01,0.06,-0.05,0,0.06,0.06,
knee,0.02,0.04,-0.05,0,0.07,0.04,
knee,0.02,0.05,-0.04,0,0.06,0.05,
knee,0.01,0.05,-0.04,-0.01,0.05,0.06,
knee,0.01,0.05,-0.04,-0.01,0.05,0.06,
knee,0.01,0.05,-0.04,0,0.05,0.05,
knee,0.01,0.05,-0.04,-0.01,0.05,0.06,
knee,0.01,0.05,-0.03,-0.01,0.04,0.06,
knee,0.02,0.05,-0.03,-0.01,0.05,0.06,
knee,0.02,0.05,-0.03,0,0.05,0.05,
knee,0.02,0.05,-0.04,-0.01,0.06,0.06,
knee,0.02,0.05,-0.04,-0.01,0.06,0.06,
knee,0.02,0.05,-0.04,-0.01,0.06,0.06,
knee,0.02,0.05,-0.04,-0.01,0.06,0.06,
knee,0.01,0.05,-0.04,-0.01,0.05,0.06,
knee,0.01,0.05,-0.04,0,0.05,0.05,
knee,0.72,12.38,-0.04,0,0.7600001,12.38,
knee,0.72,12.38,-0.03,0,0.75,12.38,
knee,0.04,0.05,-0.04,0,0.08,0.05,
knee,0.02,0.06,-0.04,0,0.06,0.06,
knee,0.03,0.06,-0.04,0,0.07,0.06,
knee,0.03,0.05,-0.04,0,0.07,0.05,
knee,0.03,0.05,-0.04,0,0.07,0.05,
knee,0.03,0.05,-0.04,-0.01,0.07,0.06,
knee,0.02,0.05,-0.04,-0.01,0.06,0.06,
knee,0.02,0.06,-0.04,0,0.06,0.06,
knee,0.02,0.06,-0.04,0,0.06,0.06,
knee,0.02,59.42,-31.62,-0.01,31.64,59.43,
knee,0.02,59.42,-31.62,-0.01,31.64,59.43,
knee,0.02,0.06,-0.04,-0.01,0.06,0.07,
knee,0.04,0.04,-0.04,-0.02,0.08,0.06,
knee,0.04,0.04,-0.04,-0.02,0.08,0.06,
knee,0.01,0.05,-0.05,0,0.06,0.05,
knee,0.03,0.06,-0.05,0,0.08,0.06,
knee,0.03,0.06,-0.06,-0.01,0.09,0.07,
knee,0.02,0.05,-0.06,-0.01,0.08,0.06,
knee,0.02,0.05,-0.04,-0.01,0.06,0.06,
knee,0.02,0.05,-0.04,-0.01,0.06,0.06,
knee,0.02,0.08,-0.05,-0.01,0.07,0.09,
knee,0.02,0.08,-0.05,-0.01,0.07,0.09,
knee,0.02,0.05,-0.05,-0.02,0.07,0.07,
knee,0.02,0.06,-0.05,-0.02,0.07,0.08,
knee,0.02,0.06,-0.03,-0.01,0.05,0.07,
knee,0.01,0.06,-0.05,-0.01,0.06,0.07,
knee,0.01,0.06,-0.05,-0.01,0.06,0.07,
