a_x,a_y,a_z,g_x,g_y,g_z,label,
-0.16,0.03,1.97,-0.07,0.04,0.03,knee,
-0.15,0.02,1.96,-0.07,0.03,0.03,knee,
-0.17,0,1.99,-0.07,0.04,0.03,knee,
-0.17,0.01,1.93,-0.07,0.04,0.03,knee,
-0.15,-0.01,1.96,-0.07,0.04,0.03,knee,
-0.16,0,1.93,-0.07,0.03,0.02,knee,
-0.16,0.01,1.95,-0.07,0.04,0.03,knee,
-0.16,0,1.95,-0.07,0.04,0.02,knee,
-0.16,0.02,1.96,-0.07,0.04,0.03,knee,
-0.15,-0.01,1.96,-0.07,0.04,0.03,knee,
-0.17,0.02,1.93,-0.07,0.04,0.03,knee,
-0.17,0,1.94,-0.07,0.04,0.03,knee,
-0.16,0.02,1.91,-0.07,0.04,0.02,knee,
-0.14,0.05,1.96,-0.07,0.04,0.02,knee,
-0.16,0.02,1.94,-0.07,0.04,0.03,knee,
-0.19,0.03,1.94,-0.07,0.04,0.02,knee,
-0.17,0,1.91,-0.07,0.04,0.03,knee,
-0.17,0.01,1.96,-0.07,0.04,0.02,knee,
-0.16,0.01,1.93,-0.07,0.03,0.03,knee,
-0.17,0.02,1.89,-0.07,0.04,0.02,knee,
-0.14,-0.01,1.93,-0.07,0.04,0.03,knee,
-0.15,0.02,1.92,-0.07,0.03,0.03,knee,
-0.15,0.02,1.94,-0.07,0.04,0.02,knee,
-0.17,-0.02,1.94,-0.07,0.04,0.03,knee,
-0.15,0.01,1.91,-0.07,0.04,0.02,knee,
-0.16,0.01,1.96,-0.07,0.03,0.03,knee,
-0.16,-0.01,1.93,-0.07,0.04,0.03,knee,
-0.14,0,1.91,-0.07,0.04,0.03,knee,
-0.15,0.03,1.9,-0.07,0.04,0.03,knee,
-0.17,0.05,1.92,-0.07,0.03,0.03,knee,
-0.16,0.01,1.94,-0.07,0.04,0.02,knee,
-0.17,0,1.92,-0.07,0.04,0.03,knee,
-0.16,0,1.92,-0.07,0.04,0.02,knee,
-0.16,0.02,1.95,-0.07,0.04,0.03,knee,
-0.15,0.03,1.93,-0.07,0.04,0.02,knee,
-0.15,0.04,1.92,-0.07,0.04,0.02,knee,
-0.14,0.03,1.92,-0.07,0.04,0.02,knee,
-0.17,0.03,1.97,-0.07,0.04,0.02,knee,
-0.16,-0.01,1.91,-0.07,0.04,0.03,knee,
-0.14,0.01,1.9,-0.07,0.04,0.03,knee,
-0.19,0,1.93,-0.07,0.04,0.03,knee,
-0.17,0.02,1.94,-0.07,0.04,0.02,knee,
-0.18,0.02,1.94,-0.07,0.04,0.03,knee,
-0.15,-0.01,1.92,-0.07,0.04,0.03,knee,
-0.18,0.03,1.94,-0.07,0.03,0.03,knee,
-0.15,-0.01,1.88,-0.06,0.04,0.02,knee,
-0.16,0,1.96,-0.07,0.04,0.03,knee,
-0.19,0.04,1.91,-0.07,0.04,0.02,knee,
-0.16,0.01,1.94,-0.07,0.03,0.03,knee,
-0.16,-0.02,1.94,-0.07,0.04,0.03,knee,
-0.16,0,1.94,-0.07,0.04,0.02,knee,
-0.16,0.02,1.93,-0.07,0.04,0.02,knee,
-0.16,0.01,1.93,-0.07,0.04,0.02,knee,
-0.15,0.04,1.96,-0.07,0.04,0.03,knee,
-0.15,0,1.94,-0.07,0.04,0.03,knee,
-0.14,0.02,1.93,-0.07,0.04,0.02,knee,
