a_x,a_y,a_z,g_x,g_y,g_z,label,
0.29,-0.4,2.04,-0.06,0.04,0.02,knee,
0.28,-0.42,2.01,-0.06,0.04,0.02,knee,
0.26,-0.41,2.06,-0.06,0.04,0.02,knee,
0.29,-0.44,2.05,-0.06,0.04,0.03,knee,
0.27,-0.4,2.03,-0.06,0.04,0.03,knee,
0.27,-0.43,2.03,-0.06,0.04,0.03,knee,
0.27,-0.42,2.03,-0.06,0.04,0.02,knee,
0.28,-0.43,2.06,-0.06,0.04,0.03,knee,
0.29,-0.43,2.11,-0.06,0.04,0.02,knee,
0.29,-0.44,2.05,-0.06,0.04,0.02,knee,
0.27,-0.41,2.06,-0.06,0.04,0.02,knee,
0.26,-0.42,2.02,-0.06,0.04,0.03,knee,
0.28,-0.43,2.06,-0.06,0.04,0.02,knee,
0.27,-0.43,2.03,-0.06,0.04,0.02,knee,
0.28,-0.44,2.06,-0.06,0.04,0.02,knee,
0.26,-0.42,2.03,-0.06,0.04,0.03,knee,
0.26,-0.41,2.05,-0.06,0.04,0.02,knee,
0.26,-0.41,2.01,-0.06,0.04,0.02,knee,
0.26,-0.42,2.01,-0.06,0.04,0.02,knee,
0.28,-0.43,2.04,-0.06,0.04,0.02,knee,
0.26,-0.44,2.05,-0.06,0.04,0.03,knee,
0.24,-0.45,2.09,-0.06,0.04,0.03,knee,
0.28,-0.46,2.03,-0.06,0.04,0.02,knee,
0.28,-0.42,2.06,-0.06,0.04,0.03,knee,
0.3,-0.4,2.04,-0.06,0.04,0.02,knee,
0.27,-0.41,2.05,-0.06,0.04,0.03,knee,
0.32,-0.43,2,-0.06,0.04,0.02,knee,
0.28,-0.39,2.04,-0.06,0.04,0.02,knee,
0.3,-0.42,2.05,-0.06,0.04,0.02,knee,
0.29,-0.45,2.04,-0.06,0.04,0.02,knee,
0.29,-0.42,2.07,-0.06,0.04,0.02,knee,
0.3,-0.44,2.01,-0.06,0.04,0.03,knee,
0.25,-0.41,2.04,-0.06,0.04,0.02,knee,
0.28,-0.41,2.01,-0.06,0.04,0.03,knee,
0.3,-0.43,2.05,-0.06,0.04,0.02,knee,
0.27,-0.42,2.04,-0.06,0.04,0.02,knee,
0.27,-0.42,2.03,-0.06,0.04,0.02,knee,
0.29,-0.41,2.02,-0.06,0.04,0.02,knee,
0.27,-0.42,2.08,-0.06,0.04,0.03,knee,
0.28,-0.42,2.04,-0.06,0.04,0.02,knee,
0.26,-0.39,2.05,-0.06,0.04,0.02,knee,
0.26,-0.42,2.08,-0.06,0.04,0.02,knee,
