a_x,a_y,a_z,g_x,g_y,g_z,label,
0.23,-0.68,1.95,-0.07,0.04,0.02,knee,
0.23,-0.7,1.95,-0.07,0.03,0.02,knee,
0.2,-0.69,2,-0.07,0.03,0.03,knee,
0.22,-0.68,1.97,-0.07,0.04,0.03,knee,
0.23,-0.68,1.97,-0.07,0.04,0.03,knee,
0.23,-0.68,1.97,-0.07,0.04,0.02,knee,
0.23,-0.69,1.98,-0.07,0.03,0.03,knee,
0.23,-0.68,1.99,-0.07,0.04,0.02,knee,
0.24,-0.67,1.97,-0.07,0.04,0.02,knee,
0.24,-0.69,1.98,-0.07,0.04,0.03,knee,
0.23,-0.68,1.95,-0.07,0.03,0.02,knee,
0.22,-0.69,1.96,-0.07,0.03,0.02,knee,
0.24,-0.66,2,-0.07,0.04,0.02,knee,
0.24,-0.69,2.02,-0.07,0.04,0.02,knee,
0.23,-0.67,1.97,-0.07,0.04,0.03,knee,
0.23,-0.67,1.99,-0.07,0.04,0.02,knee,
0.23,-0.69,1.99,-0.07,0.04,0.02,knee,
0.24,-0.68,1.98,-0.07,0.04,0.03,knee,
0.22,-0.67,1.99,-0.07,0.04,0.03,knee,
0.22,-0.7,1.99,-0.07,0.04,0.03,knee,
0.23,-0.69,1.95,-0.07,0.03,0.03,knee,
0.23,-0.68,1.99,-0.07,0.04,0.02,knee,
0.23,-0.69,1.98,-0.07,0.04,0.02,knee,
0.24,-0.67,1.99,-0.07,0.04,0.02,knee,
0.23,-0.69,1.99,-0.07,0.04,0.03,knee,
0.25,-0.68,2,-0.07,0.04,0.03,knee,
0.21,-0.66,1.98,-0.07,0.04,0.02,knee,
0.23,-0.65,2,-0.07,0.04,0.03,knee,
0.21,-0.68,1.95,-0.07,0.04,0.02,knee,
0.22,-0.72,1.94,-0.07,0.04,0.02,knee,
0.24,-0.67,1.96,-0.07,0.03,0.03,knee,
0.21,-0.68,1.98,-0.07,0.04,0.02,knee,
0.26,-0.68,1.97,-0.07,0.04,0.02,knee,
0.21,-0.67,1.98,-0.07,0.04,0.02,knee,
0.22,-0.67,1.96,-0.07,0.03,0.02,knee,
0.22,-0.67,1.95,-0.07,0.03,0.03,knee,
0.21,-0.67,1.96,-0.07,0.03,0.03,knee,
0.23,-0.67,1.98,-0.07,0.04,0.02,knee,
0.23,-0.68,1.97,-0.07,0.04,0.03,knee,
0.27,-0.65,1.96,-0.07,0.03,0.02,knee,
0.18,-0.72,1.99,-0.06,0.04,0.03,knee,
0.24,-0.67,1.95,-0.07,0.04,0.03,knee,
0.24,-0.68,2,-0.07,0.04,0.02,knee,
0.23,-0.71,1.99,-0.07,0.04,0.03,knee,
0.24,-0.69,2.02,-0.07,0.04,0.03,knee,
0.25,-0.69,1.95,-0.07,0.04,0.03,knee,
0.23,-0.68,2.01,-0.07,0.04,0.03,knee,
0.22,-0.68,1.96,-0.07,0.04,0.02,knee,
0.23,-0.68,1.96,-0.07,0.04,0.02,knee,
0.22,-0.67,1.99,-0.07,0.04,0.02,knee,
0.23,-0.7,1.97,-0.07,0.04,0.03,knee,
0.21,-0.71,1.97,-0.07,0.04,0.03,knee,
0.22,-0.69,1.93,-0.07,0.04,0.03,knee,
0.22,-0.66,2.01,-0.07,0.04,0.03,knee,
0.25,-0.68,1.98,-0.07,0.04,0.03,knee,
0.24,-0.7,1.99,-0.07,0.04,0.03,knee,
0.22,-0.69,1.98,-0.07,0.04,0.03,knee,
0.23,-0.68,2.01,-0.07,0.03,0.03,knee,
0.24,-0.71,1.98,-0.07,0.04,0.02,knee,
0.21,-0.67,1.96,-0.07,0.03,0.03,knee,
0.23,-0.68,1.98,-0.07,0.04,0.03,knee,
0.2,-0.66,1.99,-0.07,0.04,0.03,knee,
0.21,-0.68,1.97,-0.07,0.03,0.03,knee,
0.24,-0.69,1.96,-0.07,0.04,0.03,knee,
0.23,-0.69,1.98,-0.07,0.04,0.03,knee,
0.23,-0.68,2.01,-0.07,0.04,0.02,knee,
0.21,-0.7,2,-0.07,0.04,0.03,knee,
0.25,-0.69,1.93,-0.07,0.04,0.03,knee,
0.22,-0.67,1.95,-0.07,0.04,0.02,knee,
0.24,-0.67,2,-0.07,0.03,0.03,knee,
0.22,-0.69,1.99,-0.07,0.04,0.03,knee,
0.23,-0.7,1.96,-0.07,0.04,0.03,knee,
0.25,-0.68,1.97,-0.07,0.03,0.03,knee,
0.23,-0.69,1.97,-0.07,0.04,0.03,knee,
0.23,-0.69,1.97,-0.07,0.04,0.02,knee,
0.2,-0.67,2,-0.07,0.04,0.03,knee,
0.25,-0.69,1.95,-0.07,0.04,0.03,knee,
-56.42,-26.05,10.13,-0.07,0.04,0.03,knee,
0.23,-0.68,1.98,-0.07,0.04,0.03,knee,
0.23,-0.67,1.94,-0.07,0.04,0.03,knee,
0.24,-0.69,1.95,-0.07,0.04,0.03,knee,
0.25,-0.69,1.97,-0.07,0.04,0.03,knee,
0.23,-0.69,1.96,-0.07,0.04,0.03,knee,
0.21,-0.67,1.97,-0.07,0.03,0.03,knee,
0.24,-0.69,1.97,-0.07,0.04,0.03,knee,
0.22,-0.72,1.98,-0.07,0.04,0.03,knee,
0.24,-0.68,1.97,-0.07,0.04,0.03,knee,
0.21,-0.69,1.98,-0.07,0.04,0.03,knee,
0.24,-0.7,1.96,-0.07,0.04,0.03,knee,
0.24,-0.72,2.01,-0.07,0.04,0.02,knee,
0.22,-0.66,1.98,-0.07,0.03,0.03,knee,
0.21,-0.67,1.97,-0.07,0.04,0.02,knee,
0.24,-0.69,1.99,-0.07,0.04,0.03,knee,
0.23,-0.66,1.97,-0.07,0.04,0.02,knee,
0.19,-0.68,1.97,-0.07,0.04,0.03,knee,
0.24,-0.67,1.99,-0.07,0.04,0.03,knee,
0.23,-0.68,1.98,-0.07,0.04,0.03,knee,
0.25,-0.67,1.96,-0.07,0.04,0.03,knee,
0.22,-0.67,1.97,-0.07,0.04,0.03,knee,
0.23,-0.69,1.98,-0.07,0.04,0.03,knee,
0.23,-0.68,1.99,-0.07,0.04,0.02,knee,
0.23,-0.67,1.97,-0.07,0.04,0.03,knee,
0.24,-0.69,1.98,-0.07,0.04,0.02,knee,
0.25,-0.7,2.06,-0.07,0.04,0.03,knee,
0.2,-0.7,1.95,-0.07,0.04,0.03,knee,
0.23,-0.67,1.99,-0.07,0.04,0.02,knee,
0.2,-0.69,2.02,-0.07,0.04,0.02,knee,
0.22,-0.68,1.98,-0.07,0.04,0.03,knee,
0.21,-0.67,1.99,-0.07,0.04,0.02,knee,
0.23,-0.67,1.99,-0.07,0.04,0.03,knee,
0.22,-0.68,1.94,-0.07,0.04,0.03,knee,
0.21,-0.62,1.96,-0.07,0.04,0.02,knee,
0.21,-0.63,1.97,-0.07,0.04,0.03,knee,
0.19,-0.64,1.96,-0.07,0.04,0.03,knee,
0.19,-0.61,1.96,-0.07,0.04,0.03,knee,
0.18,-0.63,1.97,-0.07,0.04,0.02,knee,
0.18,-0.61,1.92,-0.07,0.04,0.03,knee,
0.17,-0.59,1.96,-0.07,0.04,0.02,knee,
0.18,-0.55,1.95,-0.07,0.04,0.03,knee,
0.18,-0.59,1.99,-0.07,0.04,0.03,knee,
0.17,-0.55,1.92,-0.07,0.04,0.03,knee,
0.17,-0.57,1.97,-0.07,0.04,0.02,knee,
0.14,-0.56,1.93,-0.07,0.04,0.03,knee,
0.13,-0.55,1.93,-0.07,0.04,0.03,knee,
0.14,-0.55,1.96,-0.07,0.04,0.03,knee,
