a_x,a_y,a_z,g_x,g_y,g_z,label,
0.9,-0.15,1.24,-0.09,0.03,0.02,reverse,
0.94,-0.15,1.38,-0.09,0.03,0.03,reverse,
1.02,-0.12,1.36,-0.09,0.03,0.03,reverse,
1.01,-0.16,1.32,-0.08,0.04,0.03,reverse,
1.03,-0.12,1.36,-0.08,0.05,0.02,reverse,
0.94,-0.15,1.39,-0.08,0.03,0.01,reverse,
0.93,-0.16,1.33,-0.07,0.02,0.02,reverse,
0.92,-0.16,1.31,-0.08,0.02,0.02,reverse,
0.94,-0.13,1.35,-0.08,0.03,0.04,reverse,
1,-0.1,1.35,-0.07,0.03,0.04,reverse,
1.06,-0.1,1.38,-0.07,0.02,0.03,reverse,
1.1,-0.14,1.31,-0.06,0.02,0.02,reverse,
1.03,-0.18,1.3,-0.07,0.04,0.01,reverse,
0.94,-0.15,1.38,-0.07,0.04,0.01,reverse,
0.89,-0.17,1.36,-0.07,0.03,0.03,reverse,
0.89,-0.14,1.26,-0.07,0.03,0.04,reverse,
0.89,-0.13,1.32,-0.07,0.05,0.05,reverse,
0.92,-0.15,1.29,-0.07,0.02,0.05,reverse,
1.02,-0.14,1.3,-0.07,0.02,0.05,reverse,
1.07,-0.14,1.24,-0.07,0.04,0.04,reverse,
0.88,-0.19,1.28,-0.07,0.03,0.03,reverse,
0.96,-0.16,1.22,-0.08,0.03,0.05,reverse,
1.02,-0.16,1.28,-0.08,0.03,0.05,reverse,
1.07,-0.13,1.31,-0.08,0.03,0.05,reverse,
1.06,-0.16,1.31,-0.08,0.05,0.04,reverse,
0.97,-0.12,1.34,-0.08,0.03,0.04,reverse,
0.95,-0.09,1.25,-0.08,0.04,0.04,reverse,
0.98,-0.17,1.26,-0.09,0.03,0.03,reverse,
0.92,-0.09,1.35,-0.09,0.02,0.03,reverse,
0.9,-0.11,1.35,-0.09,0.03,0.04,reverse,
0.98,-0.07,1.41,-0.09,0.02,0.05,reverse,
1.02,-0.09,1.35,-0.07,0.03,0.04,reverse,
0.96,-0.08,1.31,-0.07,0.04,0.03,reverse,
0.98,-0.1,1.34,-0.07,0.05,0.04,reverse,
0.93,-0.07,1.35,-0.07,0.04,0.04,reverse,
1.01,-0.09,1.32,-0.06,0.02,0.04,reverse,
1.08,-0.08,1.28,-0.07,0.01,0.02,reverse,
1.07,-0.11,1.35,-0.07,0.03,0.01,reverse,
1.06,-0.15,1.33,-0.06,0.04,0.02,reverse,
1.01,-0.13,1.35,-0.06,0.04,0.01,reverse,
0.93,-0.12,1.27,-0.06,0.05,0.01,reverse,
0.89,-0.15,1.28,-0.07,0.04,0.01,reverse,
0.88,-0.15,1.28,-0.07,0.04,0.02,reverse,
0.96,-0.15,1.3,-0.07,0.02,0.02,reverse,
1.03,-0.18,1.3,-0.08,0.03,0.01,reverse,
1.07,-0.17,1.29,-0.09,0.05,0.01,reverse,
1.04,-0.14,1.38,-0.09,0.06,0,reverse,
0.98,-0.14,1.25,-0.08,0.05,-0.01,reverse,
0.99,-0.16,1.37,-0.09,0.05,-0.01,reverse,
1.06,-0.09,1.3,-0.09,0.05,-0.01,reverse,
1.21,-0.04,1.42,-0.1,0.08,-0.06,reverse,
1.25,-0.07,1.42,-0.08,0.1,-0.11,reverse,
1.49,-0.06,1.41,-0.07,0.1,-0.22,reverse,
1.77,0.07,1.28,-0.04,0.19,-0.41,reverse,
1.48,-0.03,1.45,-0.01,0.3,-0.62,reverse,
0.49,-0.65,1.63,0.11,0.39,-0.65,reverse,
0.42,-1,1.43,0.09,0.28,-0.55,reverse,
0.35,-0.72,1.52,-0.01,0.16,-0.42,reverse,
0.41,-0.56,1.58,0.03,0.17,-0.32,reverse,
0.4,-0.61,1.44,0.06,0.16,-0.26,reverse,
0.57,-0.6,1.39,0.05,0.15,-0.26,reverse,
0.55,-0.67,1.57,0.04,0.18,-0.28,reverse,
0.35,-0.89,1.49,0.05,0.19,-0.26,reverse,
0.35,-0.96,1.66,0.03,0.13,-0.18,reverse,
0.46,-0.98,1.67,0.03,0.08,-0.15,reverse,
0.8,-0.85,1.54,0.04,0.03,-0.14,reverse,
0.93,-0.86,1.56,0.05,0.07,-0.24,reverse,
0.59,-1.04,1.49,0.06,0.1,-0.3,reverse,
0.49,-1.15,1.44,0.05,0.09,-0.3,reverse,
0.42,-1.21,1.53,-0.01,0.03,-0.26,reverse,
0.49,-1.07,1.46,-0.01,-0.08,-0.26,reverse,
0.29,-1.23,1.05,-0.04,-0.12,-0.3,reverse,
0.08,-1.25,1.02,-0.13,-0.2,-0.25,reverse,
0.28,-1.58,0.74,-0.2,-0.28,-0.14,reverse,
0.88,-1.75,0.04,-0.43,-0.37,-0.02,reverse,
1.4,-1.99,-0.07,-0.75,-0.28,0.13,reverse,
2.01,-1.82,-0.07,-1.08,-0.15,0.26,reverse,
2.61,-0.97,0.34,-1.38,0.1,0.26,reverse,
2.34,-0.04,0.96,-1.47,0.41,0.12,reverse,
1.95,0.44,1.46,-1.42,0.57,-0.01,reverse,
1.12,0.67,1.46,-1.12,0.81,-0.09,reverse,
0.66,0.42,1.4,-1.09,0.68,-0.04,reverse,
0.54,0.38,1.21,-1.14,0.64,0.1,reverse,
0.64,1.06,1.43,-1.23,0.65,0.23,reverse,
