a_x,a_y,a_z,g_x,g_y,g_z,label,
0.18,-0.52,1.94,-0.08,-0.06,0.06,sidecrunch,
0.12,-0.26,2.09,-0.08,-0.1,-0.08,sidecrunch,
0.29,-0.1,1.86,-0.07,-0.02,-0.15,sidecrunch,
0.14,-0.09,1.99,-0.09,-0.03,-0.26,sidecrunch,
-0.56,0.08,2.24,-0.14,-0.08,-0.27,sidecrunch,
0.53,-0.17,1.96,-0.08,-0.18,-0.27,sidecrunch,
-1.13,0.24,1.95,-0.01,0.19,-0.04,sidecrunch,
0.14,-0.08,1.9,-0.07,0.06,0.32,sidecrunch,
0.33,0,1.96,-0.06,0.06,0.12,sidecrunch,
0.06,-0.03,1.94,-0.06,0.05,0.04,sidecrunch,
0.06,-0.05,1.94,-0.06,0.04,0.03,sidecrunch,
-0.04,0.02,2.1,-0.11,-0.04,0,sidecrunch,
0.19,0.02,2.08,-0.08,-0.04,0.03,sidecrunch,
-0.44,1.05,2.02,-0.01,0.16,0.24,sidecrunch,
-0.95,0.51,2.05,-0.01,0.19,0.41,sidecrunch,
-0.96,-0.4,2.88,-0.08,0.51,0.73,sidecrunch,
-1.62,-0.02,1.85,-0.02,0.67,1.31,sidecrunch,
0.19,0.18,4.44,0.37,0.58,1.38,sidecrunch,
0.26,-0.2,2.75,0.9,0.47,1.09,sidecrunch,
-0.76,0.1,2.35,0.98,0.63,0.92,sidecrunch,
-0.26,-0.7,2.52,1.05,0.61,0.9,sidecrunch,
0.31,-1.87,3.38,1.48,0.42,0.64,sidecrunch,
-1.28,-2.25,-0.02,1.38,0.67,0.32,sidecrunch,
-0.73,-1.32,1.38,1.26,0.41,0.12,sidecrunch,
0.13,-0.98,2.3,1.5,-0.11,-0.2,sidecrunch,
-0.98,-1.73,2.05,1.42,0.27,-0.46,sidecrunch,
-0.91,-2.56,0.71,1.43,0.33,-0.51,sidecrunch,
-0.75,-2.4,0.82,1.08,0.47,-0.39,sidecrunch,
-0.87,-1.86,1.87,0.92,0.82,-0.31,sidecrunch,
-0.67,-2.29,1.51,1.01,0.66,-0.36,sidecrunch,
-0.96,-2.66,2.06,1.15,0.49,-0.37,sidecrunch,
-1.33,-2.95,1.72,1.42,0.36,-0.38,sidecrunch,
-1.57,-3.53,0.48,1.46,0.38,-0.33,sidecrunch,
-1.8,-3.82,0.42,1.23,0.56,-0.29,sidecrunch,
-1.81,-4.85,0.99,1.24,0.54,-0.25,sidecrunch,
-1.65,-4.11,1.51,1.14,1.36,-0.29,sidecrunch,
-1.75,-4.88,0.91,1.16,1.79,-0.31,sidecrunch,
-2.76,-4.82,0.09,0.9,1.85,-0.27,sidecrunch,
-3.52,-4.47,1.1,0.52,2.08,-0.14,sidecrunch,
-3.21,-4.13,1.47,0.54,2.09,-0.07,sidecrunch,
-3.35,-3.72,1.33,0.55,1.32,0.06,sidecrunch,
-3.49,-3.74,0.84,0.47,0.27,0.15,sidecrunch,
-2.96,-3.71,0.26,0.31,-0.7,0.28,sidecrunch,
-2.56,-3.69,0.11,0.2,-0.74,0.36,sidecrunch,
-2.56,-3.39,0.57,0.28,-0.48,0.41,sidecrunch,
-0.38,-0.3,2.41,1.14,-0.3,0.7,sidecrunch,
-0.1,0.2,2.6,1.54,-0.22,0.77,sidecrunch,
0,0.3,2.76,1.87,-0.07,0.79,sidecrunch,
-0.04,0.36,2.2,2.13,-0.35,0.8,sidecrunch,
-0.12,0.2,1.42,2.14,-0.47,0.78,sidecrunch,
-0.23,-0.47,0.58,2.06,-0.71,0.81,sidecrunch,
-0.24,-0.57,-0.16,1.84,-0.75,0.85,sidecrunch,
-0.06,-0.42,0.7,1.32,-0.52,0.84,sidecrunch,
-0.16,-0.27,0.66,0.94,-0.49,0.76,sidecrunch,
-0.08,-0.24,0.65,0.59,-0.62,0.66,sidecrunch,
0.07,-0.51,0.36,0.03,-0.79,0.51,sidecrunch,
0.31,-0.62,0.21,-0.73,-1,0.36,sidecrunch,
0.63,-0.38,0.38,-1.45,-1.22,0.13,sidecrunch,
0.47,-0.22,0.74,-2.77,-1.62,-0.28,sidecrunch,
0.56,0.77,1.18,-3.96,-2.28,-0.6,sidecrunch,
2.09,1.28,0.77,-4.41,-2.26,-0.76,sidecrunch,
1.81,1.56,0.07,-4.59,-1.78,-1.1,sidecrunch,
2.33,1.91,-1.5,-4.93,-1.63,-1.43,sidecrunch,
2.24,2.18,-1.34,-5.06,-1.53,-1.6,sidecrunch,
2.46,2.36,-2.16,-4.59,-1.42,-1.6,sidecrunch,
2.42,2.72,-2.96,-4.43,-1.29,-1.59,sidecrunch,
2.04,3.78,-1.17,-4.45,-0.71,-1.57,sidecrunch,
1.26,4.44,0.21,-4.32,0.36,-1.68,sidecrunch,
-0.47,4.99,2.43,-4.12,0.77,-1.84,sidecrunch,
-1.42,4.75,4.33,-3.75,0.7,-1.83,sidecrunch,
-2.18,4.23,5.1,-2.95,0.04,-1.7,sidecrunch,
-1.69,2.92,2.6,-2.43,-1.16,-1.37,sidecrunch,
-0.59,2.2,0.7,-2.51,-1.57,-1.14,sidecrunch,
0.41,2.58,0.28,-2.91,-1.27,-1.04,sidecrunch,
1.18,3.31,1.79,-2.9,-0.66,-0.97,sidecrunch,
0.39,3.39,3.09,-2.25,-0.09,-0.96,sidecrunch,
0.49,3.83,3.64,-1.76,0.02,-0.9,sidecrunch,
0.03,3.2,2.53,-1.9,-0.44,-1.09,sidecrunch,
-0.12,3,2.13,-2.37,-1.07,-1.24,sidecrunch,
0.65,2.55,1.74,-2.49,-1.45,-1.29,sidecrunch,
0.82,2.6,1.7,-2.44,-1.48,-1.35,sidecrunch,
1.05,2.49,1.62,-2.28,-1.39,-1.36,sidecrunch,
1.16,2.13,1.49,-2.12,-1.15,-1.3,sidecrunch,
1.1,2.1,1.72,-1.99,-1.06,-1.23,sidecrunch,
1.22,1.91,1.47,-1.66,-1.13,-1.09,sidecrunch,
1.12,1.71,1.46,-1.43,-1.04,-0.96,sidecrunch,
