hips_JNTa_x,hips_JNTa_y,hips_JNTa_z,hips_JNTw_x,hips_JNTw_y,hips_JNTw_z,
-12.07581,-12909.74,1548.431,21.83615,98.07312,-3547.643,
-80.31998,14277.13,-1633.432,1.257744,-5.348511,2.883958,
2.981567,-330.8319,38.50098,-0.4441309,-3.32962,0.1958275,
-1.326752,15.15808,-1.879883,-1.31742,-2.813263,-0.9944403,
-2.914429,471.4691,-54.95911,-4.122238,-2.946777,-3.390574,
-2.817535,-421.5805,50.31738,-4.680014,-0.8883667,-2.080883,
-0.7575989,9.207153,-1.113892,-6.188636,-0.009002686,-2.763633,
-16.52145,379.5959,-50.53711,-16.6918,1.960754,18.59522,
18.37616,-966.3422,120.5444,-6.325444,1.015472,7.598977,
-24.54681,1309.244,-186.4716,3582.045,-2.612915,32.34929,
9.889221,-703.0991,77.6886,-9.086304,-3.672485,22.90869,
5.613708,-21.76208,46.12732,-5.062561,-2.42569,14.52137,
-2.934265,-103.5309,3.012085,-3.825989,-2.345428,14.35699,
16.2262,-792.5903,106.6589,1.21521,2.685089,-2.724257,
13.3606,-264.3311,80.42603,10.27008,17.58698,-30.35082,
32.75299,-72.11304,46.02966,-3585.548,57.06619,-66.84692,
44.45953,37.84485,-66.70837,14.92359,52.49023,3543.365,
-71.28067,142.5964,-51.16577,2.91558,9.008789,-6.697083,
4.894257,-0.6256104,5.212402,4.972847,14.36569,-3.347473,
-7.067108,43.18848,7.666016,4.250789,1.573029,0.8868408,
-2.700806,25.15259,0.2593994,3.417697,-6.118164,3.16803,
1.379395,28.58582,7.229614,3.303373,-11.90338,3.123169,
2.802277,34.51843,-1.623535,3.268647,-18.50143,2.861328,
-13.5849,-40.38696,-13.75427,2.362933,-18.69003,5.491943,
-58.75626,-68.60352,16.61682,2.417536,-34.12308,17.69867,
17.03339,-10.42175,-21.05408,0.3280544,-13.02063,8.924561,
7.254028,-3.866577,-13.76038,-1.936193,-2.410583,5.346375,
1.490784,12.51831,-2.172852,-2.280078,-2.570496,-3596.066,
2.68631,39.19678,-6.652832,-3.559217,-3.237305,-0.2655497,
-6.275177,14.22729,-8.236694,-4.699917,-3.781281,-0.4536942,
8.985138,22.72034,-9.915161,-5.915718,-1.915741,-1.075018,
-0.2655029,-1.239014,-6.90918,-5.896387,-1.945496,-1.105902,
-10.76736,121.9757,-97.81494,-23.27258,13.72528,18.56053,
-6.614685,-16.95557,-63.81531,3574.118,15.52597,19.21827,
41.59088,-119.8914,116.9891,-8.022461,5.450134,13.10109,
3.45459,-12.29858,3.390503,-8.909912,6.210632,13.98169,
0.4188538,-13.30261,18.22815,-2.454224,-3.566742,10.30041,
3.374481,-4.064941,-10.83069,-2.736816,-3.977509,11.33657,
-6.678009,-11.33728,12.53967,1.638794,-9.865723,8.700857,
1.4534,-8.184814,8.54187,2.579041,-10.36301,7.20787,
-19.02924,-4.782104,44.99817,8.466797,-15.87265,1.452589,
1.257324,-5.480957,3.878784,8.827515,-15.59128,0.7050514,
8.466339,-2.114868,23.27576,7.127075,-9.606323,-1.622219,
3.246307,-3.411865,24.84131,6.275024,-5.00061,-4.030371,
4.245758,-0.4150391,-2.84729,4.504395,-2.466278,-2.199678,
1.202393,-8.599854,18.68591,6.077576,-2.266388,-2.226353,
-3.383636,-0.6225586,0.5340576,-3595.256,-0.9953308,-1.199741,
-1.494598,-1.165771,0.3692627,4.158358,-0.4203796,-0.6969738,
-18.66226,-42.12646,66.61682,6.008839,1.369324,-4.894352,
-14.24713,-55.59082,20.52612,4.687331,2.842407,-7.148361,
10.37521,6.976318,-67.75818,1.850368,2.554169,-6.89898,
13.86871,26.5625,-46.55457,-0.9458947,2.451477,-7.582016,
13.01727,-12.76855,-11.29456,-1.37556,2.189178,-8.913603,
18.33954,8.538818,-15.66772,-1.612717,1.293335,-8.7673,
13.80081,-8.288574,-9.80835,-1.326388,1.287079,-9.408464,
25.24796,10.70557,-8.013916,-0.4577041,0.8378601,-8.374124,
39.048,-24.87793,-5.203247,1.003331,1.493835,-12.80335,
104.4807,-20.53833,13.82446,6.938934,3.114014,3577.089,
-22.91336,32.83691,-15.1123,7.783294,1.992035,-20.8728,
-113.6864,68.69507,17.31262,3.854182,-1.126556,-18.69446,
-28.24478,13.58948,0.3265381,2.179854,-0.6524658,-10.22034,
15.43045,-7.287598,-6.906128,1.862144,-7.322693,-26.94153,
-34.36737,13.93127,2.651978,-0.1561856,-5.858154,-15.55634,
-47.13211,20.73975,17.46521,-4.140971,-14.05136,-10.63232,
3.027344,-0.177002,-1.99585,-2.970886,-9.902344,-4.811707,
-84.05762,90.04517,64.98413,-3.468471,-15.5246,11.95099,
-63.29956,128.6438,10.77271,-1.234567,-26.66992,26.64124,
104.0253,-67.29126,-55.77698,4.193194,-7.588043,19.08783,
17.96036,-18.59131,-30.13611,4.710779,-5.037384,17.05536,
20.82977,-34.96399,-19.37256,5.299327,-2.966309,15.89996,
3.31192,6.454468,-23.48633,6.9139,-2.861938,19.07135,
18.67981,-44.91882,4.428101,5.940466,-1.490936,-3585.249,
8.118439,-16.26587,-0.2685547,6.089916,-0.9565735,14.13132,
16.00952,9.887695,-43.51501,9.539137,1.752319,14.74771,
-0.2914429,-34.48181,10.77576,7.1733,2.824554,7.681298,
-5.741119,-21.56372,34.67407,5.882831,2.820892,4.189863,
6.580353,-15.86609,-19.99207,1.071377,3.675537,-11.36148,
-0.2281189,-0.3753662,17.22107,-0.1445484,3.782501,-13.15385,
