l_upleg_JNTa_x,l_upleg_JNTa_y,l_upleg_JNTa_z,l_upleg_JNTw_x,l_upleg_JNTw_y,l_upleg_JNTw_z,label,
0,0,0,0,0,0,ankle,
0,0,0,0,0,0,ankle,
-13.43384,1949.583,-203.9459,29.32465,4.591827,3582.245,ankle,
12.28027,-999.379,99.19739,7.210999,-6.452179,-9.460449,ankle,
0.2105713,-22.64099,-0.1525879,2.995605,-9.140167,-11.33362,ankle,
0.08544922,348.0942,-43.69507,-4.442139,-17.74078,-18.37341,ankle,
-6.515503,-27.5238,-2.224731,-17.13379,-16.51276,-23.33588,ankle,
7.373047,-1248.134,150.8209,0,0,0,ankle,
-65.50903,2435.356,-328.2349,-116.1688,-31.88828,-48.14301,ankle,
9.155273,-1213.713,149.6124,-95.33966,-15.36789,-11.85211,ankle,
-0.3417969,-171.4783,16.36963,-67.03461,-14.91409,4.294739,ankle,
0.08544922,61.83624,5.722046,-82.39777,-21.98883,20.08179,ankle,
4.260254,37.32605,20.01648,-98.91205,-43.70621,53.60382,ankle,
61.34644,-789.1144,118.5364,-85.37903,-52.29614,-3521.913,ankle,
-8.996582,-360.2127,17.97791,0,0,0,ankle,
46.75903,-47.29462,32.83081,-70.31067,-140.1814,175.7919,ankle,
57.5531,13.16681,-37.89063,16.52252,2060.238,1541.686,ankle,
36.49902,9.918213,-71.92078,140.9845,-26.84387,52.23801,ankle,
-100.1221,6.687927,33.49609,40.3476,34.82758,-23.57407,ankle,
-40.68909,17.52167,43.4845,0,0,0,ankle,
24.77417,46.0556,45.71228,-48.34991,-3554.685,-24.91135,ankle,
-9.307861,-3.813171,-7.019043,-42.3645,36.19241,-22.16705,ankle,
14.2395,81.56128,58.05664,-102.4738,99.97694,-73.75031,ankle,
-15.75928,-53.41034,-34.92126,-45.979,774.2565,-752.0179,ankle,
-13.94653,-70.39337,-61.82861,0,0,0,ankle,
-53.22876,-38.06305,109.3536,1.142273,2648.63,957.0138,ankle,
0.5096436,1.237488,-45.72449,18.49701,-183.6905,180.8397,ankle,
8.355713,4.258728,-65.96069,14.87579,4.69696,-17.3912,ankle,
