label,Average_energy,Acceleration_mean(3-axis)_x,Acceleration_mean(3-axis)_y,Acceleration_mean(3-axis)_z,Acceleration_std(3-axis)_x,Acceleration_std(3-axis)_y,Acceleration_std(3-axis)_z,Acceleration_max(3-axis)_x,Acceleration_max(3-axis)_y,Acceleration_max(3-axis)_z,Acceleration_min(3-axis)_x,Acceleration_min(3-axis)_y,Acceleration_min(3-axis)_z,Acceleration_pv(3-axis)_x,Acceleration_pv(3-axis)_y,Acceleration_pv(3-axis)_z,Synthetic_acceleration_mean,Synthetic_acceleration_std,
knee,1513.752,0.1479544,1.101056,0.2152991,2797.092,1289.981,4808.447,17687.73,9044.192,30312.89,-17692.69,-6994.959,-30507.22,35380.42,16039.15,60820.11,990.2012,5623.917,
knee,54.11854,0.1297949,0.950909,0.0493625,12.41082,33.59813,33.82204,30.09796,91.81976,134.1248,-36.34338,-121.9528,-124.588,66.44134,213.7726,258.7128,36.72309,32.85012,
knee,56.62794,-0.3286744,0.5632204,-0.3369904,19.50012,39.45109,30.21223,110.5179,196.2234,112.1338,-48.46954,-121.9528,-124.588,158.9874,318.1762,236.7218,37.68475,37.81296,
knee,57.71978,-0.09576792,-0.9573177,0.6218721,20.7585,40.0395,30.29154,110.5179,196.2234,112.1338,-58.47931,-121.9528,-124.588,168.9972,318.1762,236.7218,38.57012,38.27941,
knee,55.79033,-0.7035824,-0.8918005,-0.05489397,21.89258,36.94974,24.85499,110.5179,196.2234,60.58655,-58.47931,-102.005,-106.5369,168.9972,298.2284,167.1235,36.51294,33.62197,
knee,63.86836,0.09759955,0.1325798,-1.111947,22.48039,43.36251,27.51864,110.5179,196.2234,93.47534,-58.47931,-102.005,-106.5369,168.9972,298.2284,200.0122,42.19426,36.93046,
knee,56.48348,0.3730585,0.73536,-0.05355861,18.99012,33.84114,25.63091,58.64716,127.1027,93.47534,-58.47931,-88.85345,-45.38574,117.1265,215.9561,138.8611,37.60329,27.37639,
knee,57.70845,0.2414703,0.4043397,-0.2194216,18.34053,38.35656,23.93382,58.64716,142.2806,93.47534,-47.35565,-88.85345,-43.84155,106.0028,231.134,137.3169,38.82589,29.55078,
knee,62.35369,0.389385,-0.4492178,0.139236,17.78982,42.00666,29.66234,58.64716,149.0662,99.86267,-42.69867,-88.85345,-67.85278,101.3458,237.9196,167.7155,42.68335,33.75494,
knee,57.57331,-0.4356002,-0.4053114,1.13903,17.95438,36.22076,28.46665,58.64716,149.0662,99.86267,-42.69867,-73.87238,-83.14819,101.3458,222.9386,183.0109,38.3519,31.23197,
knee,60.1157,-0.02862925,-1.189689,0.06225575,14.88906,43.12531,27.07955,41.00647,149.0662,99.86267,-42.69867,-94.52057,-83.14819,83.70514,243.5868,183.0109,41.39128,33.21085,
knee,57.98415,0.4996299,1.123105,-1.257706,13.32073,39.33861,28.88425,41.00647,149.0662,99.86267,-42.69867,-94.52057,-83.14819,83.70514,243.5868,183.0109,39.33727,31.85813,
