r_shoulder_JNTa_x,r_shoulder_JNTa_y,r_shoulder_JNTa_z,r_shoulder_JNTw_x,r_shoulder_JNTw_y,r_shoulder_JNTw_z,
-0.07775314,2.094194,0.1510978,2.153359,3599.403,1.588278,
-0.2610471,7.263249,0.4956841,8.941921,-2.532654,6.951541,
0.04494041,-0.8571833,-0.09199381,7.180238,-2.13501,6.054758,
0.02003089,-0.1783907,-0.02028942,6.284101,-2.006836,5.48713,
0.01817271,-0.0900805,-0.02750158,5.261776,-1.891174,5.079684,
0.02658926,-0.2804637,-0.05046129,3.759441,-1.756287,4.552529,
0.06105155,-1.690167,-0.1191258,2.237153,-1.341248,3.372531,
0.06764978,3.522384,-0.234592,-3.69118,-1.653137,6.527133,
0.05532354,-2.215338,-0.3408909,-5.610192,-1.104126,5.354958,
-0.1658883,1.424825,0.2431154,-2.770615,-1.952515,7.619495,
0.04176274,-2.208042,-0.05520582,-2.762177,-1.500549,6.09139,
-0.03827177,0.2688646,-0.08131266,-3.139023,-1.312561,5.861268,
-0.1608558,4.402947,-0.234735,-6.400559,-1.952209,9.437933,
0.3316425,-10.9015,-0.1883984,-5.039823,0.3881836,-1.617303,
0.01756176,-0.4481792,-0.09676218,-6.034594,0.5606079,-2.528749,
0.347938,0.09026527,-0.4486918,3592.653,2.45575,-12.26179,
-0.02659634,-0.3582716,0.1994014,-5.231934,2.012329,-9.902439,
0.1094654,-0.5308032,-0.199163,-4.168396,2.550049,-10.2821,
-0.1225896,0.1590252,0.7335424,-1.065674,2.125854,-6.222808,
-0.01887158,-0.1290321,0.1827717,-0.4403687,1.951599,-4.857895,
-0.08407906,0.005507469,0.2025127,0.2423096,1.425171,-2.552993,
-0.07767305,0.195241,0.1037359,0.3988647,0.8566284,-0.4079866,
-0.04306287,0.05337,0.07747412,0.6454468,0.6182861,1.398318,
0.1057766,-0.04607439,0.007617474,0.7574463,-0.2020264,3.909459,
0.01981109,0.1792431,-0.1464844,0.5502319,-1.161499,4.96228,
-0.06875619,0.09782314,-0.04143715,0.3573608,-0.793457,2.789617,
0.06360337,0.2005696,-0.1591682,-0.04241943,-0.6298828,-0.5556607,
-0.1138054,-0.01776218,0.0852108,-0.01403809,-0.2453613,-0.2167296,
0.038388,0.1609564,-0.2176642,-0.6488037,-0.7678223,-2.192435,
-0.07923916,0.0434041,0.01194477,-0.7958984,-0.3265381,-1.817319,
-0.142305,0.1063466,0.01769066,-0.9918213,0.8300781,-0.3040838,
-0.2464831,0.4332662,-0.1494288,-1.650696,1.106262,1.701438,
-0.2951428,0.2898574,0.2190948,-1.20697,0.1202393,6.515656,
-0.8062604,0.5542874,0.6647587,-1.872559,0.08483887,12.80399,
1.032791,-1.307118,-0.0220418,1.022949,-0.9524536,5.187821,
-0.2137046,-0.1527905,0.1960993,1.756897,-1.485596,8.14074,
0.3293537,-0.1664639,-0.1644254,2.884216,-1.112061,3.835735,
-0.09459704,-0.1625776,0.3155112,4.41864,-1.660767,5.719104,
0.2785325,0.07447004,-0.346148,4.819336,-0.2648926,2.306886,
0.0008188188,-0.07576942,0.03477335,5.157471,-0.2529907,2.32389,
0.07775724,-0.01709461,0.4165888,-3586.744,0.5227661,2.977538,
0.05848333,-0.1339555,0.02137423,15.68398,0.7565308,2.916565,
0.06349385,0.007796288,-0.3114939,11.85451,1.25061,1.315966,
0.05147085,0.07790327,-0.002527237,10.31511,1.783752,0.3897953,
-0.01150146,0.01989603,-0.1084447,8.464966,1.6922,-0.4528713,
-0.01196787,0.02355576,-0.07915497,7.102551,1.546326,-0.7571316,
0.02312437,-0.0870347,0.1205325,9.104033,2.376099,-1.248026,
-0.05473271,0.08739233,-0.2116084,5.883093,2.007446,-1.163635,
0.03712997,-0.1340628,0.1555681,9.315481,-3596.636,-2.359076,
0.02150759,-0.009167194,-0.0996232,9.678164,3.879623,-3.769407,
-0.05452782,0.1956344,-0.2135158,4.17984,1.937586,-2.274776,
-0.05498156,0.1556993,-0.1698613,-0.2973175,0.539493,-1.630163,
0.001522154,0.0140667,-0.001311302,-0.8513737,0.2945954,-1.41727,
0.02510771,0.04776716,0.01354218,-3.958769,-0.3657073,-2.02682,
0.01920313,0.06796122,-0.148654,-4.671001,-0.5512977,-1.830897,
0.01193359,0.1502275,-0.272727,-5.270681,-0.851258,-1.13163,
-0.01030862,0.2220631,-0.3671765,-10.23934,-1.493061,-1.295834,
0.05493462,0.1961231,-0.3513098,-16.08962,-1.977814,0.243597,
0.03149137,-0.1666784,-0.04131794,-16.83236,-1.938922,0.5263472,
-0.06119013,-0.1574278,0.5829573,-9.670093,3597.661,0.4997635,
-0.01530945,-0.2183437,-0.02046824,-7.056043,-1.701965,0.4135847,
0.02766997,0.130105,-0.09224415,-7.204599,-2.585144,-0.683732,
0.0186123,-0.03831387,-0.02841949,-7.639034,-2.941895,-0.9317636,
0.1130655,-0.002288818,-0.1672864,-8.052326,-3.647766,-2.887788,
0.002589449,-0.2253771,0.07095337,3593.624,-3.049316,-2.849426,
0.1252797,-0.5705595,-0.1601696,-5.317078,-3.552551,-4.970379,
0.1090702,-0.6176591,0.4351258,-5.905762,-3.997498,-5.815873,
-0.1634013,0.2594948,0.5337477,-3.052673,-2.770081,-3.396163,
-0.1142092,0.2476811,0.2216101,-0.118103,-2.523499,-1.707006,
-0.0476893,0.2975941,0.02582073,0.6030273,-1.637573,-0.6743479,
-0.01741126,0.133872,-0.008237362,0.9744263,-1.256409,-0.209341,
0.005497411,0.0387907,0.01200438,1.381226,-1.341858,-0.03932953,
0.01862682,0.09407997,-0.01121759,2.10022,-1.450195,0.2967978,
-0.03374927,0.1430511,-0.05812645,2.367554,-1.605225,-0.708499,
-0.04107803,0.1304984,-0.06886721,2.348633,-1.604004,-1.563811,
-0.0436198,0.07846355,-0.04088879,2.178955,-1.213989,-1.636906,
-0.1531575,0.08245707,-0.1769543,0.3973389,0.7055664,-0.8067083,
-0.08498244,0.1375437,-0.02497435,0.4168701,1.218872,-0.3108406,
-0.03027841,-0.02202988,0.01068115,0.06072998,1.540527,1.333532,
-0.08938275,0.1165152,-0.01455545,0.1577759,2.010193,2.178712,
-0.04416369,0.05470514,-0.1142263,0.368042,2.373352,4.550624,
0.04047491,-0.1289845,0.09906292,0.3106689,2.11731,4.050474,
-0.4015643,0.3504157,0.3103495,-3597.469,3.961182,9.784641,
-0.2394218,-0.4174232,0.5916357,3.163436,5.422058,13.19245,
0.6408803,-0.5581617,-0.1389503,3.356496,2.344055,3.1949,
0.03907904,-0.1533985,0.02595186,3.144664,2.202759,3.011823,
0.1181915,-0.04731417,-0.1270294,4.553268,1.514282,1.367998,
0.0304319,-0.02989769,-0.02496243,4.088932,1.351318,1.241226,
0.02423003,-0.009536743,0.1221061,7.585552,0.8883667,0.8115101,
0.03974736,0.04498959,-0.1078963,7.00568,0.5230713,0.4924393,
0.06800666,0.06510019,0.5887032,16.92644,1.072998,-0.6091595,
0.01657233,-0.04370213,0.006592274,17.25279,1.110535,-0.5941486,
0.006647408,0.04327297,-0.271821,13.60761,0.9918213,-0.2020645,
-0.0009730458,0.04175901,-0.1345038,12.04572,1.042175,0.09748459,
-0.008411705,0.02679825,-0.133419,9.994774,0.8209229,0.718298,
-0.006707013,0.01345873,-0.06620884,8.922796,0.7345581,0.9510136,
-0.003848225,0.05397797,-0.1103401,6.984701,0.8139038,1.032028,
-0.003410131,-0.007998943,0.08955002,8.646574,1.351318,1.700621,
0.01113117,0.09174347,-0.2546668,4.08947,0.9912109,0.7425022,
0.07550269,0.102365,0.109148,6.220818,-3596.204,0.6000519,
-0.001110882,0.02720356,-0.3212571,1.240892,2.193071,-0.8887768,
0.002331287,0.03581047,-0.2867341,-2.958689,1.116101,-2.3596,
0.01751408,0.03420115,-0.0837326,-3.997202,1.341792,-2.944002,
0.03509372,0.1088619,-0.2150416,-7.175417,1.566054,-4.147906,
-0.01520514,-0.01243353,-0.01226664,-7.291336,1.533027,-4.082775,
