r_upleg_JNTa_x,r_upleg_JNTa_y,r_upleg_JNTa_z,r_upleg_JNTw_x,r_upleg_JNTw_y,r_upleg_JNTw_z,
0,0,0,0,0,0,
-2.416992,1446.565,-115.2832,54.94476,0.2015686,10.68169,
2.416992,-1446.565,115.2832,0,0,0,
-18.54248,2567.142,-233.1238,100.3683,4.472351,15.77818,
9.858704,-1571.062,130.4688,39.88373,1.959686,6.104944,
7.534027,-757.9971,76.24817,9.58313,0.1882935,1.617455,
-7.226563,1550.899,-185.5713,-3526.977,1.032562,11.79382,
9.1362,-870.8481,75.01831,11.07952,-7.828522,-3.571181,
7.580566,140.7669,-15.78979,2.580876,-13.20236,-7.646513,
-8.340454,-1058.9,152.7496,0,0,0,
-3.141785,2481.625,-336.6272,4.635639,-21.72501,-13.99064,
-5.819702,-1717.516,238.9435,-5.964723,-5.894012,-4.743822,
-6.663513,187.1841,-20.60242,-13.34497,-7.26181,-6.213648,
-19.46793,-27.70691,24.24316,3531.556,-11.43753,-10.99025,
9.18808,-870.5307,109.6924,-64.60999,-6.01532,-6.930645,
-1.596069,22.11914,22.68066,-63.26233,-5.179596,3592.297,
-12.78152,10.56976,9.60083,-87.8241,-8.801727,-12.92694,
-16.48636,-49.50714,102.2461,-208.3914,-24.39728,-10.11597,
28.37372,-75.53406,-88.51318,-131.4182,-9.367981,-6.213684,
13.26141,-10.32104,-42.93213,-74.90326,0.483551,-7.127991,
1.196289,-23.35205,-12.5061,-79.9176,12.68723,-17.79266,
0.5874634,0.1327515,-13.97095,-63.72711,48.33481,-53.1015,
6.70929,30.88379,-0.06103516,-27.7478,80.66742,-82.41364,
-15.1062,-88.54218,-12.64038,-18.56903,1045.819,-1053.541,
12.21771,83.99506,25.89111,21.91132,98.87787,-103.2903,
-4.061127,-67.51099,3.613281,53.51898,82.37274,-91.62903,
17.63382,102.6062,18.56384,-0.4458618,-30.43121,26.73187,
-0.3036499,15.92865,-10.62927,-5.694275,-22.35809,21.66351,
4.178619,28.16772,7.232666,-19.65393,-50.28564,52.93045,
-2.732086,6.867981,-3.491211,-20.83679,-101.7004,104.5757,
-6.732178,21.73157,-7.830811,-19.51965,-294.1202,298.1659,
1.721954,1.159668,-2.655029,3.024597,-413.4676,417.865,
32.40738,252.3651,-39.06555,244.3307,-450.1564,483.5828,
-18.28232,-235.1151,-14.73694,85.44495,-13.17947,23.6261,
31.7894,-5.343628,-94.31152,190.7504,-4.224854,-3567.616,
-13.12103,-101.6129,76.35803,83.06152,-0.8151245,18.28295,
-13.83972,6.178284,41.09192,29.15497,1.313629,6.476946,
31.82526,-64.22577,-48.48022,92.00439,4.636536,17.14361,
-14.79263,25.8316,54.68445,51.57654,7.491608,10.70322,
4.316711,-16.30859,4.226685,54.20013,8.844299,11.4065,
-10.17838,17.90314,54.32434,-3545.046,16.90353,12.35917,
11.80954,-41.58783,43.67371,72.9417,23.41721,19.22726,
-40.6044,74.45068,-57.79724,19.50589,4.783325,2.16732,
-16.24222,-10.38361,20.69397,34.16859,5.917053,-1.079617,
-1.579285,9.947205,-12.36572,25.66303,1.70578,-2.397242,
-1.738739,6.248474,-6.591797,21.11917,-1.07605,-3.693619,
18.0542,19.20166,-31.9519,0,0,0,
-49.08981,-46.74683,77.53296,46.44068,11.1618,0.1211834,
38.45062,36.86371,-55.34058,5.643768,8.944092,4.018641,
-6.443024,-3.733826,36.52039,-8.636684,34.16092,16.731,
6.351471,6.347656,-27.89307,-4.900227,18.59283,8.746519,
19.11469,6.343079,-43.91479,6.621208,1.105194,0.998621,
0.8491516,-1.643372,-14.94751,15.20079,5.993652,3.20857,
-9.233093,2.56958,28.0426,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
-317.8062,172.6593,-61.33728,2473.455,502.8255,2737.701,
327.6787,-263.3667,36.203,17.57874,457.4272,-460.9586,
4.482269,30.45654,12.52747,21.52222,97.40906,-97.57385,
-0.7461548,19.99207,7.070923,13.99872,19.53461,-18.51013,
6.253815,27.93579,12.854,3.738098,-34.97894,41.78223,
-5.73349,28.4729,5.853271,-5.175171,-62.75909,70.5249,
0.08087158,-0.1037598,-0.668335,-3.716125,-68.7323,76.54633,
-7.35321,108.6777,16.52222,-12.69806,-397.5797,411.0571,
-5.522919,-91.64581,-23.57178,3.618164,-106.6801,109.8511,
-0.0213623,106.4835,2.301025,54.36157,-327.7203,337.959,
2.601624,-65.20233,-5.545044,43.59131,-81.13922,86.96777,
2.928925,-12.38251,8.334351,49.6051,-40.80688,46.09039,
5.142212,27.71301,-6.332397,88.46771,-38.85757,48.19946,
43.33115,-27.57263,-66.64124,193.2889,-19.32114,52.02301,
-21.96732,-86.56769,-17.6239,133.649,-6.435089,-3574.527,
-7.21817,-9.7229,44.18945,49.3045,-3.074036,12.0609,
26.03302,-76.70746,-48.37341,110.0836,-5.467987,22.01868,
-21.26999,45.5658,67.42554,46.89941,-3.465881,10.19154,
-9.706879,13.11798,3.289795,34.17175,-2.380676,6.476631,
16.79459,-32.29523,13.61694,-3541.603,-0.6932068,12.76073,
-6.217957,18.40973,20.96863,46.41476,2.219543,11.76085,
-25.95901,52.21252,-13.98926,11.61811,1.163025,2.765017,
-9.155273,-26.05286,127.5452,107.8589,29.897,28.02191,
3.35083,39.9231,-134.6191,0,0,0,
-45.75882,2.430725,97.7478,42.40189,24.94263,14.7172,
25.45319,-0.01983643,-61.39526,10.73772,11.08948,6.156483,
1.911926,-1.036072,-4.284668,7.206821,10.923,6.107178,
-4.599762,0.7598877,8.251953,9.024124,14.245,8.353319,
11.37161,-2.883911,-12.04224,1.268845,16.27792,9.923134,
