label,Acceleration_max(3-axis)_x,Acceleration_max(3-axis)_y,Acceleration_min(3-axis)_x,Acceleration_min(3-axis)_y,Acceleration_pv(3-axis)_x,Acceleration_pv(3-axis)_y,
knee,32.40738,2567.142,-19.46793,-1717.516,51.87531,4284.658,
knee,38.45062,252.3651,-49.08981,-235.1151,87.54043,487.4802,
knee,327.6787,172.6593,-317.8062,-263.3667,645.4849,436.026,
knee,327.6787,172.6593,-317.8062,-263.3667,645.4849,436.026,
knee,61.31592,62.52747,-93.61343,-86.56769,154.9294,149.0952,
knee,190.9599,162.442,-100.5577,-137.9944,291.5176,300.4364,
knee,190.9599,162.442,-100.5577,-137.9944,291.5176,300.4364,
knee,92.35535,182.5134,-92.35535,-172.58,184.7107,355.0934,
knee,92.35535,182.5134,-92.35535,-172.58,184.7107,355.0934,
knee,70.83817,123.6771,-73.89297,-118.28,144.7311,241.9571,
knee,49.21646,184.9335,-43.03207,-254.4922,92.24854,439.4257,
knee,151.6823,403.9703,-151.6823,-403.9703,303.3646,807.9406,
knee,151.6823,403.9703,-151.6823,-403.9703,303.3646,807.9406,
knee,90.83557,178.7262,-49.58191,-153.3554,140.4175,332.0816,
knee,194.2879,193.7561,-199.5972,-193.7561,393.8851,387.5122,
knee,194.2879,193.7561,-199.5972,-193.7561,393.8851,387.5122,
knee,63.45596,90.62042,-95.50629,-124.913,158.9622,215.5334,
knee,79.29993,90.62042,-95.50629,-89.56757,174.8062,180.188,
knee,82.15027,147.2778,-143.6317,-92.96722,225.782,240.245,
knee,127.7489,274.5758,-145.2187,-172.493,272.9676,447.0688,
knee,127.7489,274.5758,-145.2187,-172.493,272.9676,447.0688,
knee,76.6777,200.6409,-101.2215,-239.5676,177.8992,440.2085,
knee,149.3111,350.3052,-131.7055,-350.3052,281.0166,700.6104,
knee,149.3111,350.3052,-131.7055,-350.3052,281.0166,700.6104,
knee,77.38724,400.3799,-70.12558,-427.6093,147.5128,827.9893,
knee,104.631,400.3799,-69.90356,-427.6093,174.5345,827.9893,
knee,104.631,188.3469,-62.91733,-132.5928,167.5483,320.9397,
knee,47.52502,218.8065,-62.91733,-146.1578,110.4424,364.9643,
knee,45.41931,218.8065,-34.90753,-146.1578,80.32684,364.9643,
knee,71.32187,189.8483,-35.55756,-215.5334,106.8794,405.3817,
knee,71.32187,189.8483,-71.32187,-215.5334,142.6437,405.3817,
knee,63.92212,105.7053,-71.32187,-143.4692,135.244,249.1745,
knee,26.5625,134.6481,-42.71393,-168.9117,69.27643,303.5598,
knee,26.5625,152.092,-40.73105,-168.9117,67.29355,321.0037,
knee,103.1494,191.7938,-76.3298,-270.2332,179.4792,462.027,
knee,103.1494,191.7938,-76.3298,-270.2332,179.4792,462.027,
knee,45.96405,104.2419,-70.10956,-112.0636,116.0736,216.3055,
knee,33.82568,104.2419,-70.10956,-112.0636,103.9352,216.3055,
knee,23.34595,77.84424,-30.50766,-64.33868,53.85361,142.1829,
knee,153.933,51.79443,-108.2451,-79.62952,262.1781,131.424,
knee,153.933,196.1731,-108.2451,-128.7003,262.1781,324.8734,
knee,80.92194,211.0199,-103.8193,-145.1599,184.7412,356.1798,
knee,53.48663,211.0199,-103.8193,-145.1599,157.3059,356.1798,
knee,67.32483,130.1682,-53.22876,-160.8276,120.5536,290.9958,
knee,101.8326,290.1367,-90.12222,-318.8385,191.9548,608.9752,
knee,101.8326,290.1367,-90.12222,-318.8385,191.9548,608.9752,
knee,39.36234,95.98999,-27.771,-96.89941,67.13334,192.8894,
knee,39.36234,253.0487,-120.0554,-96.89941,159.4177,349.9481,
knee,117.3538,253.0487,-120.0554,-165.8417,237.4092,418.8904,
knee,117.3538,105.8655,-75.64926,-165.8417,193.0031,271.7072,
knee,37.27875,165.8417,-75.64926,-168.8751,112.928,334.7168,
knee,114.4783,165.8417,-82.79648,-252.6413,197.2748,418.483,
knee,114.4783,130.3558,-82.79648,-252.6413,197.2748,382.9971,
knee,39.21738,95.55969,-25.07477,-60.52704,64.29215,156.0867,
knee,65.50674,82.27234,-44.99359,-85.56366,110.5003,167.836,
knee,65.50674,94.35883,-53.79486,-136.4822,119.3016,230.841,
knee,64.36005,166.4337,-53.79486,-179.0573,118.1549,345.491,
knee,114.3059,492.1143,-161.1183,-383.5541,275.4242,875.6684,
knee,136.7256,492.1143,-161.1183,-383.5541,297.8439,875.6684,
knee,136.7256,116.037,-71.14563,-200.502,207.8712,316.539,
knee,23.1308,116.037,-42.35153,-54.8111,65.48233,170.8481,
knee,28.07693,67.41791,-35.42862,-74.81689,63.50555,142.2348,
knee,28.07693,83.17566,-35.42862,-89.26392,63.50555,172.4396,
knee,62.06818,116.8381,-50.11444,-103.7689,112.1826,220.607,
knee,62.06818,246.1395,-63.26523,-169.7189,125.3334,415.8584,
knee,34.42078,246.1395,-63.26523,-169.7189,97.686,415.8584,
knee,73.70377,230.159,-69.4809,-241.7572,143.1847,471.9162,
knee,73.70377,230.159,-69.4809,-241.7572,143.1847,471.9162,
