hips_JNTa_x,hips_JNTa_y,hips_JNTa_z,hips_JNTw_x,hips_JNTw_y,hips_JNTw_z,
119.0338,-14013.77,1580.331,-109.9707,26.2056,-20.07837,
-142.8329,15283.6,-1643.228,19.96087,0.4890442,0.7556438,
-3.953552,-328.2471,23.12317,14.56658,0.7962036,-0.8063269,
-3.805542,17.70477,-0.4364014,14.80986,0.8297729,-2.02451,
-12.13989,470.6223,-35.18372,21.69618,1.573486,-5.310509,
3.799438,-414.6545,32.59888,15.06977,1.276703,-5.593965,
-3.503418,11.76605,-0.2807617,15.01353,1.476135,3592.88,
-4.75769,393.7012,-33.36182,18.18779,3.795624,-12.31049,
18.75153,-970.0165,73.95935,5.59473,1.407776,-4.552917,
-9.533691,1344.743,-112.3718,22.86581,5.256042,-10.13458,
14.03503,-705.9143,55.13,13.87222,3.432007,-3.97522,
2.792358,8.061218,0.8972168,14.68147,3.657532,-3.170166,
2.281189,-91.18042,7.647705,13.30744,3.66333,-2.606812,
1.335144,-840.3717,68.01147,2.083435,0.7905579,-0.3274536,
5.674744,-167.9626,6.591797,-0.9622192,0.7719421,0.4934692,
0.8773804,15.00854,-4.01001,-0.8594513,-0.2609253,-1.445923,
-1.535034,-1.791382,3.69873,-0.5756569,-0.499115,-1.618042,
-4.689026,-14.89258,6.530762,-0.1861572,-0.2682495,-0.4318237,
2.732849,5.841064,-5.865479,-0.5182838,-0.8972168,-1.085205,
-0.2609253,-2.243042,1.873779,-0.3796387,-0.7040405,-0.6134033,
-0.4058838,-1.797485,1.51062,-0.2753067,-0.5480957,-0.296936,
1.005554,0.2868652,-1.046753,-0.2778435,-0.3869629,-0.218811,
0.9857178,0.003051758,-0.9613037,-0.2667236,-0.1634216,-0.1086426,
0.8377075,0.8575439,-0.03662109,-0.2474403,-0.2244568,-0.406189,
7.669067,8.291626,-5.847168,-0.3955841,-0.5744934,-1.564941,
-6.463623,-8.828735,6.576538,-0.3390503,-0.3326416,-0.7565308,
-2.702332,-3.872681,2.285767,-0.3714752,-0.2481079,-0.3997803,
-0.3051758,-0.1556396,0.7629395,-0.2635193,-0.1248169,-0.3704834,
-0.6103516,-0.1678467,1.931763,0.05779266,0.2532959,-0.3051758,
0.9216309,0.9735107,-0.1342773,0.2288628,0.2804565,-0.3530884,
-1.158142,1.45874,1.998901,1.088161,0.06271362,-0.1690674,
-0.01983643,-0.07019043,0.01525879,1.078129,0.06103516,-0.1678467,
10.26459,17.07153,10.05249,3.482895,-0.6251526,-1.567078,
1.498413,2.276611,3.131104,4.011192,-0.9152222,-1.950073,
-8.810425,-13.0249,-4.23584,2.36742,-1.095428,-1.505432,
0.8499146,1.269531,1.278687,2.649155,-1.239014,-1.700439,
-4.50592,-4.101563,-2.670288,2.056561,-1.442719,-0.8432007,
0.5203247,0.6774902,0.9155273,2.284374,-1.616669,-0.9494019,
-4.428101,-3.253174,-3.479004,2.346363,-1.501923,1.499329,
-1.647949,-2.542114,-0.1495361,2.119236,-1.319122,1.965332,
-9.01947,-8.486938,-4.754639,1.151772,-1.416168,10.86914,
-2.896118,-5.764771,9.21936,0.9418106,-1.331177,11.39648,
5.441284,9.692383,-1.644897,0.002193451,-1.28006,9.47052,
4.051208,10.88257,-7.299805,-0.9096718,-1.39679,8.713379,
4.475403,4.751587,-7.513428,-1.835384,-1.097717,5.631714,
4.730225,10.97412,-8.416748,-3.588905,-1.582184,6.972961,
7.615662,-3.271484,4.705811,-4.120598,-1.464844,5.031433,
3.779602,-2.734375,-1.550293,-4.403439,-1.432343,-3595.816,
26.36414,0.5645752,-18.69812,-12.26055,-1.76712,10.21618,
7.632446,-17.57813,-0.1647949,-15.13302,-1.268768,11.80515,
-17.46674,-10.40955,9.823608,-11.43585,-0.4652405,8.626752,
-15.69366,-2.41394,1.467896,-8.147297,0.524292,5.824952,
-0.03814697,-0.8239746,-3.857422,-8.461132,0.3341675,5.111701,
-3.900146,2.130127,-0.2502441,-6.891556,0.01113892,2.886591,
-0.007629395,-0.5065918,-1.809692,-7.168427,-0.03631592,2.188444,
-2.635193,2.075195,1.824951,-5.859909,-0.1461792,-0.4229498,
0.378418,-2.200317,-8.868408,-7.735386,-0.4309082,-1.67798,
-6.654358,-2.374268,-14.46533,-10.10489,-1.481476,-6.376543,
-4.36554,1.522827,5.783081,-8.652229,-1.239929,-5.243161,
-15.11536,8.36792,17.55371,-3.300409,-0.6793213,-1.559825,
7.019043,0.7873535,10.93445,-1.808128,-0.3695679,-0.8410525,
-23.59161,-0.3143311,-19.97681,-3.976297,-0.9022522,-0.754118,
10.82306,0.8087158,14.4989,-2.052603,-0.4985046,0.01199245,
-12.0575,2.67334,3.039551,-2.384386,-1.182404,0.08617878,
11.71722,-0.3936768,7.403564,-1.419106,-0.8244324,0.08360863,
3.567505,0.7080078,-0.6713867,-1.195173,-2.710419,-3.437865,
-7.998657,0.8117676,-5.133057,-1.798582,-5.028534,-6.865432,
25.25635,-1.983643,9.869385,-0.3875446,-2.750854,-4.520014,
2.722168,-0.2838135,1.321411,-0.2373791,-2.359619,-4.024415,
-0.8117676,1.074219,24.23706,0.4556084,-2.552338,-2.840989,
-0.4974365,-0.4364014,14.1449,0.8071327,-3.233032,-3.090575,
-3.507996,-0.9033203,-4.727173,1.189251,-2.67746,-1.515118,
-2.302551,-0.5737305,1.028442,1.540384,-2.694702,-0.8732182,
-7.032776,1.44043,23.69385,5.213156,-4.17984,-1.041908,
0.6393433,0.6256104,-10.44006,5.345182,-3.180237,-0.6986049,
2.824402,0.1586914,-5.194092,5.255985,-2.644806,-0.8315536,
14.96887,2.713013,-16.46423,5.847712,-0.5303955,-1.351977,
5.485535,0.8300781,-7.214355,5.442944,-0.2433777,-1.226276,
3.250122,-0.7385254,-10.54993,3.926907,0.09094238,-0.8418475,
-0.3646851,-0.5310059,-1.037598,3.740711,0.1483154,3599.247,
20.48798,3.411865,-21.31653,6.804562,2.136688,-0.3210449,
-5.018616,-4.016113,17.34619,5.983868,2.447968,0.5947876,
15.04669,2.435303,32.2052,9.079094,4.93866,-3597.195,
15.5426,1.885986,12.12463,12.45626,6.898193,4.460771,
-42.7597,-5.352783,-20.9198,5.079842,3.167419,2.803895,
9.080505,1.550293,12.64038,7.894001,5.055389,4.599658,
-14.0213,-1.296997,-14.60571,5.147228,3.731842,3.384534,
5.01709,1.373291,10.18677,7.413769,5.445099,5.063775,
-11.51733,1.004028,-4.6875,5.521145,4.074554,3.784266,
0.1083374,-0.6286621,7.006836,5.113716,3.830261,3.633695,
-20.17822,6.741333,-12.04529,6.381092,5.78537,2.89072,
-21.50269,3.045654,10.27527,11.00634,10.52063,4.800794,
10.86121,-15.06042,-22.88513,3.426037,3.580322,-0.9992981,
3.463745,-3.271484,-3.570557,2.052727,2.272491,-1.817107,
-10.42633,-6.347656,0.2990723,2.273788,2.13089,-4.694211,
8.653259,-0.2502441,-2.813721,1.246433,0.9107971,-4.384599,
-11.62415,-14.7522,-1.330566,0.3794479,0.8270264,-8.285227,
9.05304,-2.038574,-2.828979,-0.8012199,0.2487183,-7.558765,
-8.927917,-32.1167,-17.56287,-2.654171,-0.8886719,3587.974,
1.046753,-43.62793,-8.517456,-4.644203,-1.969757,-17.05902,
18.19,2.380371,13.82141,-4.576893,-1.713104,-15.64026,
12.0575,41.27808,4.312134,-4.130058,-0.9223938,-10.42175,
3.042603,13.76343,2.79541,-3.369675,-0.6663513,-8.50708,
1.689148,14.04419,-11.85913,-3.946056,-0.1795959,-11.31104,
-0.6729126,21.13647,2.026367,-2.504063,0.1626587,-6.783752,
0.03356934,27.00195,-5.24292,-2.437592,0.7966614,-5.615234,
8.569336,5.895996,9.246826,-3.830509,1.933136,-9.721985,
14.69879,-14.70947,24.08447,-2.752552,2.696228,-8.773193,
