r_shoulder_JNTa_x,r_shoulder_JNTa_y,r_shoulder_JNTa_z,r_shoulder_JNTw_x,r_shoulder_JNTw_y,r_shoulder_JNTw_z,
0,0,0,0,0,0,
-13.69019,1596.841,-414.505,27.49165,0.9111023,3.487025,
-16.20789,-167.1967,43.63098,24.28495,0.1890564,3.219066,
-9.268188,-43.35938,12.0575,23.5362,0.02029419,3.606063,
1.675415,-241.7725,66.16211,19.22957,-0.1791382,3.455415,
-2.514648,-41.97998,14.28833,18.34679,-0.3495789,3.755636,
1.037598,-28.78113,16.79993,16.96625,-1.011963,4.009743,
2.816772,-45.35522,21.0144,15.30691,-1.699524,4.125495,
4.882813,-43.64014,8.538818,14.68515,-1.729126,3.522463,
8.081055,33.58459,-18.04199,15.73519,-1.446228,2.363276,
0.6561279,16.03394,-2.334595,15.92804,-1.71875,2.11246,
-4.272461,99.2981,-30.24597,18.35274,-2.077484,1.557107,
5.493164,-199.3408,51.85547,15.06802,-2.01355,0.9014225,
18.39905,-927.6764,232.4921,-0.6690598,-0.6881714,-1.134171,
-0.567627,1.611328,0.1586914,-0.7670975,-0.7684326,-1.313186,
-3.173828,12.18567,-3.088379,-0.6668091,-0.1179504,-1.16847,
-0.5554199,3.509521,0.8880615,-0.7994652,-0.1106262,-1.384945,
6.152344,-18.38379,-0.06713867,-0.3099251,0.1733398,-0.2874374,
-1.306152,7.077026,-0.4211426,-0.7023239,0.3974915,-0.6603241,
0.1708984,-4.772949,0.1403809,-0.433445,0.2217102,-0.6800938,
0.0213623,-0.4333496,0.03662109,-0.4088211,0.2082825,-0.6900883,
-0.8361816,0.6225586,-1.431274,-0.4541969,-0.1257324,-1.128585,
0.1251221,-0.9002686,-0.177002,-0.4112816,-0.2243042,-1.136556,
-3.057861,4.272461,-0.7446289,-0.461235,-0.254364,-1.716316,
-1.409912,1.812744,0.1403809,-0.4927444,-0.2719116,-2.013245,
3.7323,-6.414795,3.182983,-0.4909706,-0.06195068,-1.161988,
1.190186,-2.23999,0.6866455,-0.4400635,-0.00289917,-0.8347058,
0.5310059,-3.070068,-1.153564,-0.07238388,-0.1521301,-0.4655266,
-5.517578,1.989746,-1.501465,0.03414154,-0.7723999,-1.602142,
4.79126,-2.789307,-2.096558,0.3689194,-0.1898193,-0.4935336,
-2.340698,-0.07324219,-7.720947,1.195736,-0.2482605,-0.8407474,
-1.776123,2.392578,-3.356934,1.909714,-0.1823425,-1.183243,
-2.975464,4.046631,-4.864502,3.150291,-0.04425049,-1.754055,
1.254272,-2.044678,2.392578,2.903309,0.1339722,-1.423242,
2.108765,-3.29895,1.727295,2.750664,0.6886292,-0.7460976,
1.165771,-0.668335,1.156616,2.522659,0.8297729,-0.5120587,
2.22168,-1.046753,1.486206,2.131176,1.126099,-0.07211447,
1.986694,-0.9368896,-2.008057,2.191639,1.264954,0.1430273,
5.358887,-2.380371,-2.307129,1.885681,1.390076,0.7360148,
6.854248,-0.6713867,-0.08544922,1.711197,1.751862,1.387682,
46.80786,-3.997803,-3.411865,1.012897,4.479523,5.867033,
-6.646729,-3.039551,15.85999,0.6529236,4.022369,5.306463,
-4.968262,26.08032,5.859375,-0.9502411,2.839661,4.160378,
-1.971436,-2.096558,0.7781982,-0.9725952,2.718811,3.986602,
17.73071,30.3894,12.03613,-3.88546,2.901459,4.482803,
-39.54468,-28.42712,-8.154297,-1.429405,1.00708,1.564269,
74.6521,52.84424,40.55176,-7.595596,3.631592,5.404973,
-34.26208,-27.69775,-10.88562,-5.198517,2.07077,3.01939,
52.82898,20.88623,62.19788,-13.44635,1.313934,2.596869,
9.729004,-9.545898,21.96655,-14.92731,1.119843,2.444663,
-62.39624,-28.93372,-41.09802,-9.61504,-0.3353882,0.08312702,
-21.1731,-7.794189,-11.85303,-8.341827,-1.038818,-0.9780979,
-4.672241,0.7568359,6.719971,-9.690399,-1.129303,-1.761861,
-16.95557,-6.115723,-24.94812,-6.558685,-0.7250977,-1.426768,
-8.996582,-1.062012,-5.252075,-5.996685,-0.7980347,-1.629519,
-4.129028,0.8178711,5.911255,-6.941261,-1.012573,-2.121015,
-8.59375,0.668335,0.6164551,-7.325134,-0.6880188,-1.724367,
-6.332397,1.168823,10.57739,-9.05035,-0.5593872,-1.723137,
-1.669312,-2.789307,-12.48779,-7.582378,-0.3277588,-1.132154,
-1.712036,-3.305054,-35.39124,-3.251686,0.1142883,0.1468563,
-0.09765625,-0.5126953,-0.3814697,-3.217506,0.1257324,0.1794291,
-10.7666,1.541138,-5.69458,-3.428345,0.3544617,0.554986,
