r_upleg_JNTa_x,r_upleg_JNTa_y,r_upleg_JNTa_z,r_upleg_JNTw_x,r_upleg_JNTw_y,r_upleg_JNTw_z,label,
0,0,0,0,0,0,reverse,
0,0,0,0,0,0,reverse,
0.2166748,1959.253,-108.02,43.72406,14.47693,-8.058969,reverse,
-3.915405,-1013.786,54.82483,22.9715,8.170013,3591.593,reverse,
-1.843262,-25.05035,2.349854,23.16437,9.524841,-9.908142,reverse,
-4.602051,339.6927,-17.57813,33.65265,14.51065,-16.37756,reverse,
-0.1312256,-23.84491,4.077148,35.21484,15.38055,-16.82861,reverse,
10.27527,-1236.264,64.34631,0,0,0,reverse,
-11.40442,2482.916,-126.8799,81.22375,31.95206,-30.93414,reverse,
14.328,-1180.045,56.0791,-3555.667,14.63989,-10.14557,reverse,
3.961182,-166.6382,3.131104,35.48973,10.33478,-3.052368,reverse,
3.594971,93.08167,-4.458618,38.56225,10.99121,-1.920471,reverse,
3.790283,67.12646,-2.041626,40.65501,11.48514,-0.5987549,reverse,
-4.96521,-842.8223,43.84155,14.80241,3.045502,0.9307861,reverse,
-9.30481,-453.6194,30.32837,0,0,0,reverse,
5.374146,4.943848,-6.958008,0.9166718,-1.490784,1.082153,reverse,
2.572632,9.613037,-4.534912,-0.05153656,-3.946686,-0.7293701,reverse,
1.034546,2.325439,0.1556396,-0.3869438,-4.584503,-1.314087,reverse,
-1.623535,-5.279541,-3.186035,-1.012917,-4.969482,-1.033936,reverse,
-7.357788,-11.60278,14.52332,0,0,0,reverse,
7.006836,10.72998,-14.01367,-1.162643,-4.433136,-0.440979,reverse,
-3.405762,-5.511475,7.397461,-0.5233383,-2.023621,-0.05889893,reverse,
3.417969,2.392578,-3.515625,-0.170002,-2.760162,0.3631592,reverse,
-0.4089355,-1.266479,1.950073,-0.1124191,-2.746887,0.02349854,reverse,
-6.610107,-6.344604,8.181763,0,0,0,reverse,
14.33716,10.90393,-12.75024,-0.09754181,-6.583862,-1.166687,reverse,
-3.713989,-4.074097,3.57666,0.004005432,-4.847565,-0.8157349,reverse,
-4.330444,-4.562378,2.926636,0.1719284,-2.98172,-0.3973389,reverse,
0.07629395,0.1708984,1.901245,0.1255989,-2.117615,-0.0201416,reverse,
3.182983,1.913452,2.404785,0.07459641,-1.112671,0.8843994,reverse,
-9.552002,-4.351807,1.940918,0,0,0,reverse,
9.082031,11.06873,2.914429,-0.08401871,-0.70755,1.681519,reverse,
4.205322,5.871582,7.693481,-4.206314,-7.225647,-2.35199,reverse,
2.819824,3.427124,3.579712,-5.589714,-9.362488,-3.181152,reverse,
