hips_JNTa_x,hips_JNTa_y,hips_JNTa_z,hips_JNTw_x,hips_JNTw_y,hips_JNTw_z,
-190.3809,-13383.26,2316.751,-3526.96,77.80685,-192.9907,
59.85718,14662.41,-2477.977,0.4560804,-0.2653503,-3.456476,
-2.270508,-326.9302,36.4563,0.139761,-0.1951599,-2.647743,
-5.462646,14.17999,-13.47198,-0.01567364,-0.2258301,-2.697754,
-19.29321,464.6622,-99.63226,-0.3787661,-0.385437,-4.002523,
9.313965,-412.4649,56.76117,-0.6200695,-0.3692627,-2.65807,
-1.818848,12.20703,-18.4494,-0.8764887,-0.4187012,-2.638279,
-46.84448,400.1801,-81.70929,-3.462913,-1.933899,-3.22117,
48.32153,-963.3179,205.8853,-1.355162,-0.6950378,-0.9833324,
-145.7886,1350.409,-297.2733,-4.527912,-2.627106,-5.766068,
12.63428,-701.3336,177.0889,-2.851884,-1.736908,-4.250173,
-18.11523,9.494019,-3.894043,-3.024805,-1.994934,3594.571,
-10.16235,-90.29541,25.18311,-3.068082,-1.967468,-5.327148,
162.5854,-853.9185,154.2694,-0.9491158,-0.7502747,-1.494446,
53.85742,-183.4335,-16.13617,-2.270412,-2.298889,-3.143311,
12.79907,6.881714,-9.417725,-1.7967,-2.827148,1.302185,
-5.969238,-0.8590698,18.06488,-1.131943,-2.169342,2.286682,
0.7751465,1.330566,15.56702,0.1184142,0.3686523,1.43219,
82.62939,-6.448364,-89.08234,0.9892964,2.496185,4.963379,
-35.90698,9.100342,52.56653,1.385323,2.444458,-3595.935,
-25.57983,6.124878,34.93347,1.538656,2.274017,3.298446,
6.488037,2.877808,0.1815796,1.95704,3.073883,2.929225,
4.998779,3.62854,2.085876,2.3699,3.913269,2.313035,
-5.023193,-0.2700806,2.882385,3.070338,5.764465,3.175914,
33.35571,9.805298,-18.27087,7.341974,15.61005,8.24716,
20.62988,-0.9078979,-15.93628,3.628168,9.111023,6.805534,
33.44727,3.640747,-20.9137,2.098587,6.821136,7.189984,
-18.58521,2.581787,9.370422,1.859169,6.87439,7.967703,
-47.35718,10.45532,18.56537,1.374636,7.503815,10.90995,
18.64014,9.262085,-13.78632,1.449213,9.2453,13.84774,
-12.29248,4.830933,2.444458,0.3911543,7.844696,13.96287,
-1.391602,-3.067017,0.7644653,0.3062391,7.789612,13.86894,
30.49927,-2.780151,-21.84448,-2.809038,15.06958,35.93742,
13.66577,-14.25171,-26.72577,-3.800845,15.53558,38.89497,
40.80811,2.084351,-15.66315,-2.82197,3.690491,14.70182,
13.43384,-0.5737305,-15.75317,-3.182023,4.155121,16.50059,
-104.7119,-5.386353,98.20862,-3.750057,1.813812,13.97745,
2.111816,0.9521484,-4.684448,-4.190135,2.03125,15.59853,
4.779053,-0.8972168,11.88049,-5.800986,0.6307983,16.44743,
-12.23755,-3.68042,8.332825,-5.615633,0.2047729,15.03687,
-4.760742,-22.72034,20.05768,-11.16405,-5.522766,22.25283,
-10.85815,-4.623413,5.569458,3588.942,-6.077881,22.19742,
36.19995,21.97571,18.12592,-8.630066,-6.561737,17.62716,
49.70703,24.7345,17.01965,-7.29187,-7.765045,15.23067,
-68.88428,-17.06543,-8.383179,-4.967651,-6.093445,11.23707,
-1.78833,5.212402,4.516602,-6.328735,-8.711243,15.47829,
-21.1792,-14.53247,-0.881958,-4.327393,-6.480865,10.76557,
-9.484863,-6.420898,-0.3097534,-3.435059,-5.513916,8.704567,
24.81689,-8.282471,14.00757,-4.514771,-6.8573,10.85953,
-8.099365,-12.08496,-2.363586,-3.210754,-4.504242,7.183495,
-30.33447,3.009033,-13.39874,-1.240845,-1.03241,1.966782,
-30.2063,2.075195,-13.30414,0.7299805,2.800293,-3.857536,
-13.45825,-1.11084,2.084351,1.415405,3.763428,-5.993881,
-16.61377,-0.3479004,1.574707,2.102661,4.288483,-7.695961,
-6.890869,-1.525879,-0.7141113,2.575073,5.089111,-8.851128,
-8.349609,-2.789307,-4.79126,3.152771,5.971527,-9.63932,
-25.30518,2.923584,-1.855469,5.071411,8.670654,-13.77193,
-61.03516,19.76318,-11.17554,10.00885,14.37927,-21.93966,
8.221436,-2.79541,1.698303,9.194641,12.09351,-18.44479,
67.38892,-27.98462,-2.363586,5.409851,4.526978,-8.424492,
25.64697,7.159424,5.09491,2.990417,2.463531,-4.574223,
-46.3562,-16.09192,-17.59186,7.97699,5.055389,-12.31352,
34.552,11.70349,7.49054,-3595.357,2.475128,-7.143669,
-26.89819,-8.706665,-1.248169,6.051792,0.9660339,-10.99976,
23.53516,8.03833,7.292175,3.756337,0.1927185,-7.107735,
-40.22217,18.27087,9.460449,3.892356,-3.212585,-12.38949,
-79.24805,6.686401,5.628967,6.007615,-6.541138,-21.45159,
74.59106,-26.77002,26.3443,0.9431577,-5.09201,-9.711285,
11.10229,-2.96936,0.9918213,0.342288,-4.659424,-7.929707,
3.137207,6.008911,5.050659,-0.2698851,-5.332031,-7.778454,
-13.0249,-5.026245,17.72919,-0.5777407,-6.838226,-9.551716,
5.230713,1.177979,1.083374,-0.9183955,-6.588745,-9.017544,
-7.58667,-2.041626,7.052612,-1.225581,-7.211914,-9.757252,
-93.82324,6.256104,79.19769,-3.75742,-14.92981,-20.67438,
23.0896,8.560181,-12.51221,-3.843741,-13.14041,-18.29749,
10.88867,-9.686279,-7.342529,-3.736578,-12.04315,-16.82646,
30.40771,-32.58972,-10.56213,-3.492432,-9.338379,-13.73925,
9.753418,3.979492,-5.358887,-3.216875,-8.526917,-12.5503,
33.12378,13.83362,-27.06604,-2.259263,-5.991669,-8.849964,
4.156494,1.043701,-4.335022,-2.135853,-5.650024,-8.330555,
-45.70923,-20.43457,45.25146,3597.172,-8.744354,-12.84502,
20.78247,16.41235,-23.39325,-1.930237,-7.001953,-10.41317,
-38.65967,5.36499,31.74896,-1.71051,-9.1745,-13.97987,
-47.68066,-16.4917,43.04047,-2.246094,-12.23495,-18.66192,
122.3999,15.21301,-119.0475,0.01983643,-3.607788,-5.688907,
-34.80835,-12.854,26.6571,0.1116943,-5.457611,-8.507226,
40.88745,28.57971,-40.31219,0.5831909,-2.887726,-4.034784,
-25.21362,-5.099487,16.2735,0.8688354,-4.111481,3594.344,
33.12378,15.05737,-28.9032,1.282654,-2.339478,-2.199097,
3.533936,0.2258301,-1.905823,1.17981,-2.181396,-2.051697,
19.01855,2.172852,-27.49176,2.97699,-1.125183,-0.6536865,
-9.411621,0.6912231,-13.97552,-3594.324,-1.408997,-0.4818726,
56.41479,6.359863,-16.88232,2.878901,1.202393,-0.7955933,
6.994629,0.5172729,-0.1541138,2.254826,1.496124,-0.7769775,
30.23682,4.855347,-25.15411,3.338289,3.395233,-1.552734,
-6.719971,-2.536011,11.71417,2.405829,3.025818,-1.308594,
43.01758,14.04419,-32.56836,3.718787,5.876617,-1.263733,
-8.123779,1.150513,11.7569,2.927052,5.453033,-0.4455566,
63.25684,4.516602,-32.80487,3.694427,10.00839,5.450745,
71.23413,4.23584,-39.91241,4.66181,15.04486,-3588.529,
-10.60791,1.428223,7.507324,4.085336,14.22653,12.29087,
-41.98608,20.05005,37.49084,1.785076,11.26831,16.006,
-26.44043,-10.13794,16.24756,1.30373,9.450989,13.68452,
84.83276,15.37476,-40.38849,0.7806802,14.77875,23.81781,
-79.90112,-19.73572,43.96667,0.2252817,9.580231,15.27344,
-0.1220703,4.998779,1.557922,-0.2470231,9.706268,15.05932,
112.7136,11.99646,-51.76849,-1.154177,18.63663,26.50966,
-15.39307,-42.82227,13.95721,-2.110972,19.99573,24.60669,
62.61597,-10.71777,-9.440613,-2.95795,25.80521,31.05551,
-205.6702,24.3927,89.48364,-1.355052,10.46738,10.57056,
-2.416992,-1.412964,-1.298523,-1.372569,10.62592,10.69963,
-0.1586914,-5.569458,7.478333,-1.662238,11.44897,12.31768,
12.26807,0.8636475,-3.112793,-2.02513,13.62793,14.78662,
-50.25635,-6.329346,14.52026,-1.351738,6.914215,9.215393,
32.25098,9.466553,-8.016968,-2.258623,11.00525,15.06556,
63.7146,-30.63965,-23.65112,-4.063126,15.20905,27.52785,
25.01831,-17.65747,-11.88965,-5.306283,17.71118,34.99403,
-178.8635,23.30933,57.70569,0,0,0,
88.03711,7.519531,-34.04999,-1.872354,7.125397,15.03057,
-13.0188,5.175781,3.161621,-1.306584,5.618896,12.12738,
-17.13867,-8.843994,9.40094,-0.004560351,4.032898,5.671921,
-14.84375,-2.722168,9.25293,0.3514689,2.629089,3.098679,
-43.03589,-1.12915,12.2345,0,0,0,
5.34668,-9.521484,23.69995,2.253086,-2.885437,-9.569893,
-42.24854,9.249878,3.668213,1.177875,-5.070496,-12.46132,
-15.72266,0.402832,11.53717,1.600115,-7.067108,-17.38201,
-16.54053,-6.674194,-11.25488,1.051699,-8.371124,-13.84531,
-6.079102,-0.06103516,-3.495789,0.9531939,-8.561401,-12.53687,
-11.79199,-1.501465,-14.56604,1.370258,-9.553528,-9.21011,
-4.016113,0.1434326,-1.443481,1.444083,-9.471588,-8.117981,
91.05225,7.962036,-8.145142,0,0,0,
-108.4961,-11.41052,6.439209,1.850988,-10.85373,-6.813679,
-121.2219,23.63281,17.68036,2.995014,-23.16833,-14.17561,
229.718,-12.22229,-24.11957,0,0,0,
-506.665,1.73645,74.48578,4.687228,-49.03015,-34.04509,
506.665,-1.73645,-74.48578,0,0,0,
-235.4492,-42.35535,63.47961,0.5143118,-23.22586,-21.20211,
128.7659,20.37964,-30.30853,-0.09457827,-10.50049,-10.28036,
-23.9624,-8.743286,13.86261,-0.3672576,-12.93701,-12.66438,
-25.31128,-11.06567,18.80035,-1.10028,-15.55344,-15.21333,
-73.66943,11.83167,56.5506,-3.654976,-22.17682,-21.0323,
-23.18726,7.70874,20.94879,-5.161142,-23.95432,-22.18508,
