label,Average_energy,Acceleration_mean(3-axis)_x,Acceleration_mean(3-axis)_y,Acceleration_mean(3-axis)_z,Acceleration_std(3-axis)_x,Acceleration_std(3-axis)_y,Acceleration_std(3-axis)_z,Acceleration_max(3-axis)_x,Acceleration_max(3-axis)_y,Acceleration_max(3-axis)_z,Acceleration_min(3-axis)_x,Acceleration_min(3-axis)_y,Acceleration_min(3-axis)_z,Acceleration_pv(3-axis)_x,Acceleration_pv(3-axis)_y,Acceleration_pv(3-axis)_z,Synthetic_acceleration_mean,Synthetic_acceleration_std,
sidecrunch,546.5753,-2.405244,-0.2591298,1.239182,46.96712,2232.637,383.2882,162.5854,14662.41,2316.751,-190.3809,-13383.26,-2477.977,352.9663,28045.67,4794.728,456.9935,2219.223,
sidecrunch,53.44345,1.767426,0.4082106,-0.8559791,37.72725,11.33843,26.03571,122.3999,28.57971,98.20862,-104.7119,-32.58972,-119.0475,227.1118,61.16943,217.2561,35.97095,30.65742,
sidecrunch,65.58413,0.02914389,-0.1527404,0.0613791,52.10066,13.92777,27.75869,122.3999,28.57971,89.48364,-205.6702,-42.82227,-119.0475,328.0701,71.40198,208.5311,44.52451,41.18983,
sidecrunch,89.56126,-1.221618,-0.301361,0.9564978,104.5728,13.92226,31.36072,506.665,28.57971,89.48364,-506.665,-42.82227,-119.0475,1013.33,71.40198,208.5311,65.21013,88.67319,
sidecrunch,115.2127,2.305146,0.6651688,-1.921272,112.7687,18.42646,50.38433,506.665,49.33777,193.0984,-506.665,-68.67065,-143.3334,1013.33,118.0084,336.4318,81.43919,94.72069,
sidecrunch,126.5967,-1.879959,-0.2611541,1.529388,117.2889,20.86832,53.32604,506.665,49.33777,193.0984,-506.665,-68.67065,-143.3334,1013.33,118.0084,336.4318,88.79241,95.69585,
sidecrunch,115.0658,-4.361953,-0.0555419,1.420155,112.7849,19.49882,51.15034,506.665,49.33777,193.0984,-506.665,-68.67065,-143.3334,1013.33,118.0084,336.4318,81.3512,95.4988,
sidecrunch,106.8337,1.509399,0.4814908,-0.7609747,71.43258,20.77907,55.54629,252.8137,49.33777,193.0984,-171.051,-68.67065,-143.3334,423.8647,118.0084,336.4318,70.47694,60.46373,
sidecrunch,83.17128,1.054687,0.007705697,0.2159313,57.58058,16.94014,40.77282,141.1011,48.72131,117.8192,-169.4092,-39.67896,-112.648,310.5103,88.40027,230.4672,55.20922,47.0958,
sidecrunch,69.40435,-1.701736,-0.274391,0.2921484,52.34817,13.88837,32.71267,132.1228,48.72131,96.38214,-192.157,-39.67896,-112.648,324.2798,88.40027,209.0302,47.8252,41.46255,
sidecrunch,77.74715,2.341385,-0.5690383,0.1156997,57.99547,15.46035,33.88868,177.8076,48.72131,96.38214,-192.157,-39.67896,-112.648,369.9646,88.40027,209.0302,53.58235,43.42455,
sidecrunch,69.52255,3.401031,0.1789669,-2.422562,54.87261,12.68233,29.95427,177.8076,33.55103,66.4444,-192.157,-36.34338,-113.8199,369.9646,69.89441,180.2643,48.42683,41.73025,
sidecrunch,80.03887,-2.220383,-0.2624889,0.4950713,70.09796,14.02893,29.37739,293.6829,33.57849,77.76489,-192.157,-44.40613,-113.8199,485.8399,77.98462,191.5848,57.34813,51.86525,
sidecrunch,75.9156,-0.9954087,-0.1982494,0.8564752,66.3895,13.51077,28.88489,293.6829,33.57849,77.76489,-185.3699,-44.40613,-113.8199,479.0528,77.98462,191.5848,54.04754,50.05067,
sidecrunch,81.40103,1.5596,0.600243,-1.738434,67.05228,12.26519,40.8736,293.6829,33.57849,177.1194,-185.3699,-44.40613,-113.8199,479.0528,77.98462,290.9393,57.13597,55.30269,
sidecrunch,88.50539,-1.336976,0.1203348,1.62588,74.27199,13.78978,41.01805,293.6829,33.57849,177.1194,-185.3699,-44.40613,-101.8402,479.0528,77.98462,278.9596,61.8474,59.73534,
sidecrunch,82.40527,-3.255159,-0.07789612,1.718197,66.37554,15.4632,41.21954,172.6624,56.31714,177.1194,-204.9683,-41.5802,-101.8402,377.6307,97.89734,278.9596,56.25953,56.50037,
sidecrunch,123.6558,1.630479,-0.06624164,-0.244941,94.01166,24.50689,64.40675,332.8064,75.85754,193.4113,-302.3376,-102.832,-150.2487,635.144,178.6895,343.66,82.43025,82.43169,
sidecrunch,115.805,0.903474,0.2616883,-0.4652969,89.43813,25.25524,59.48494,332.8064,75.85754,193.4113,-302.3376,-102.832,-150.2487,635.144,178.6895,343.66,76.14539,79.86517,
sidecrunch,107.6427,-2.060013,-0.2584455,0.7736787,85.60811,24.64225,57.35004,332.8064,75.85754,193.4113,-302.3376,-102.832,-150.2487,635.144,178.6895,343.66,70.96551,78.70081,
sidecrunch,105.0609,1.428149,-0.5332941,-0.5211444,83.10055,22.77111,56.57616,332.8064,75.85754,193.4113,-302.3376,-102.832,-150.2487,635.144,178.6895,343.66,69.45509,76.18184,
sidecrunch,73.02351,0.7886496,0.5437659,-0.9558485,51.63766,12.89258,37.59131,124.4751,39.73083,137.6633,-161.0718,-33.60596,-84.99908,285.5469,73.33679,222.6624,48.64758,43.37069,
