label,Average_energy,Acceleration_mean(3-axis)_x,Acceleration_mean(3-axis)_y,Acceleration_mean(3-axis)_z,Acceleration_std(3-axis)_x,Acceleration_std(3-axis)_y,Acceleration_std(3-axis)_z,Acceleration_max(3-axis)_x,Acceleration_max(3-axis)_y,Acceleration_max(3-axis)_z,Acceleration_min(3-axis)_x,Acceleration_min(3-axis)_y,Acceleration_min(3-axis)_z,Acceleration_pv(3-axis)_x,Acceleration_pv(3-axis)_y,Acceleration_pv(3-axis)_z,Synthetic_acceleration_mean,Synthetic_acceleration_std,
sidetoside,572.6422,3.808674,0.213552,1.55556,114.9601,2321.972,175.0717,693.1458,15220.29,971.5973,-584.9609,-13959.42,-1075.613,1278.107,29179.71,2047.21,491.0798,2279.095,
sidetoside,97.60759,-3.334425,-1.435451,2.149048,61.38092,23.82485,61.82936,242.4866,64.72778,284.8358,-249.585,-62.44812,-161.8744,492.0716,127.1759,446.7102,64.99838,62.85791,
sidetoside,99.22501,-1.946563,-0.7096099,2.417831,64.88326,21.64177,60.18206,242.4866,64.72778,284.8358,-249.585,-54.98657,-161.8744,492.0716,119.7144,446.7102,66.3469,62.51648,
sidetoside,144.1515,0.5312355,-0.9710126,-0.3608323,65.74855,71.42546,108.8842,242.4866,372.525,479.6295,-249.585,-372.525,-479.6295,492.0716,745.05,959.259,96.60142,109.3149,
sidetoside,140.8524,-0.4988112,-0.6393242,-0.9302519,74.16407,72.23882,102.0855,309.8633,372.525,479.6295,-249.585,-372.525,-479.6295,559.4483,745.05,959.259,98.11431,107.3094,
sidetoside,134.1159,1.445692,0.5248821,-1.995735,67.26283,72.12157,100.643,309.8633,372.525,479.6295,-193.6829,-372.525,-479.6295,503.5462,745.05,959.259,93.38442,105.5487,
sidetoside,131.8521,0.776213,-1.393014,-1.75106,67.35335,72.57364,99.67179,309.8633,372.525,479.6295,-193.6829,-372.525,-479.6295,503.5462,745.05,959.259,92.29372,105.9498,
sidetoside,112.3168,-1.091997,0.2685371,0.3351599,67.17045,52.63078,62.74076,309.8633,156.7749,202.2736,-193.6829,-234.14,-315.7043,503.5462,390.9149,517.9779,79.13398,70.40926,
sidetoside,97.78959,-0.9106451,0.3896158,1.114959,47.08598,49.50615,61.13332,123.645,156.7749,202.2736,-171.0815,-234.14,-315.7043,294.7265,390.9149,517.9779,67.42519,62.13934,
sidetoside,96.99081,1.268616,-0.1310713,-0.7447433,45.34414,50.85543,61.71083,123.645,156.7749,202.2736,-171.0815,-234.14,-315.7043,294.7265,390.9149,517.9779,66.72213,63.25291,
sidetoside,99.36605,-0.8591458,0.9691442,2.857057,46.51442,50.84421,62.00921,122.2107,156.7749,202.2736,-171.0815,-234.14,-315.7043,293.2922,390.9149,517.9779,68.27262,62.7898,
sidetoside,86.56792,-0.3206635,1.094704,0.8493034,46.18233,26.98272,47.47131,122.2107,97.68829,146.524,-171.0815,-69.38477,-113.5468,293.2922,167.0731,260.0708,58.90481,40.57887,
sidetoside,92.47322,-0.4595194,-0.05012511,-1.265793,58.38823,26.50497,47.72607,278.1311,97.68829,121.8536,-161.4624,-69.38477,-113.5468,439.5935,167.0731,235.4004,62.55467,49.78159,
sidetoside,102.1639,0.2521504,0.3230095,-0.01041412,69.65269,25.1834,57.20501,278.1311,97.68829,246.8109,-292.7368,-69.38477,-143.4845,570.8679,167.0731,390.2954,68.56517,63.69537,
sidetoside,102.6077,0.947036,0.4068564,-2.036668,69.82014,25.69811,56.8993,278.1311,97.68829,246.8109,-292.7368,-69.38477,-143.4845,570.8679,167.0731,390.2954,68.20847,64.23074,
sidetoside,100.9868,1.661605,0.5146976,2.011184,70.67136,26.22202,56.88943,278.1311,108.5342,246.8109,-292.7368,-94.21234,-143.4845,570.8679,202.7466,390.2954,66.69956,66.90803,
sidetoside,103.4576,-0.4736335,-0.1637658,1.665191,69.57964,29.09792,62.62424,265.9668,108.5342,246.8109,-292.7368,-98.48633,-221.9788,558.7036,207.0205,468.7897,68.5041,70.14287,
sidetoside,121.3396,0.3843684,-0.2895553,0.2176671,76.17065,31.49599,85.36138,274.3286,108.5342,365.5396,-281.5979,-98.48633,-332.6111,555.9265,207.0205,698.1508,80.69713,86.99877,
sidetoside,131.0896,-0.8242794,-0.01380987,0.143166,85.05225,38.89716,88.41057,344.5251,163.3194,365.5396,-281.5979,-98.48633,-332.6111,626.123,261.8057,698.1508,85.8546,95.88009,
sidetoside,124.3487,0.2537541,-0.1414113,-0.6459423,85.92384,33.59526,85.8633,344.5251,163.3194,365.5396,-281.5979,-98.48633,-332.6111,626.123,261.8057,698.1508,81.55363,96.09143,
sidetoside,113.9523,0.1992794,-0.06700544,-0.3815063,77.44188,34.69085,79.65523,344.5251,163.3194,365.5396,-281.5979,-93.01758,-332.6111,626.123,256.337,698.1508,74.33892,89.55204,
sidetoside,88.68803,-2.820129,-0.8314322,1.853218,62.90588,31.72339,48.66183,344.5251,163.3194,164.7156,-174.6582,-93.01758,-192.8833,519.1833,256.337,357.5989,57.93737,63.1414,
sidetoside,80.61333,0.3002943,-0.3129194,0.2705004,48.94798,21.63591,46.67356,113.1165,61.83777,164.7156,-174.6582,-53.57056,-105.7465,287.7747,115.4083,270.4621,53.27412,46.95284,
sidetoside,85.08115,-0.6855006,-1.488037,-1.414947,44.92137,30.97011,50.38695,113.1165,99.80316,183.5175,-174.6582,-80.01099,-140.6006,287.7747,179.8141,324.1181,57.19502,47.42717,
sidetoside,86.03165,0.5509959,-0.09033184,-0.8308021,47.02595,26.91927,52.15545,150.7019,99.80316,183.5175,-174.6582,-80.01099,-140.6006,325.3601,179.8141,324.1181,57.98708,47.90385,
sidetoside,80.22392,0.2499399,0.2090835,-0.3568632,43.72884,26.51024,46.32181,150.7019,99.80316,183.5175,-142.4255,-80.01099,-140.6006,293.1274,179.8141,324.1181,54.17513,42.73177,
sidetoside,82.37957,0.7186132,-0.5215837,-0.2631374,45.01313,28.25036,44.3932,150.7019,99.80316,183.5175,-124.2737,-80.01099,-140.6006,274.9756,179.8141,324.1181,55.27119,41.72499,
sidetoside,84.90193,-0.5622858,0.3122327,-0.6771854,46.82165,25.62077,46.76007,150.7019,89.04419,213.6871,-124.2737,-78.00751,-114.3982,274.9756,167.0517,328.0853,56.19127,43.3429,
sidetoside,100.601,0.4537203,0.05323419,0.3127279,62.01975,27.72872,56.60211,233.0994,89.04419,257.9651,-202.7405,-78.00751,-119.3787,435.8399,167.0517,377.3438,67.31337,57.3441,
sidetoside,141.4487,1.031953,0.1907154,-1.045036,117.0477,36.3255,90.8349,655.4321,129.2114,301.9257,-451.3977,-99.36829,-480.1788,1106.83,228.5797,782.1045,93.38827,120.6296,
sidetoside,171.2553,-0.972748,1.022682,0.1349649,138.4709,39.25582,101.7257,655.4321,129.2114,301.9257,-451.3977,-99.36829,-480.1788,1106.83,228.5797,782.1045,114.6296,133.8857,
sidetoside,175.24,-2.633132,0.2490236,-2.746161,144.4618,34.69529,99.93518,655.4321,129.2114,301.9257,-451.3977,-99.36829,-480.1788,1106.83,228.5797,782.1045,118.7874,134.0303,
sidetoside,178.2594,-0.6359854,-0.01579304,-1.268918,140.7097,33.25533,109.1151,655.4321,129.2114,301.9257,-451.3977,-99.36829,-480.1788,1106.83,228.5797,782.1045,120.9508,134.8487,
sidetoside,142.8845,-0.1854695,0.7549484,1.149332,100.2962,23.23356,86.20267,311.5906,108.5068,299.0814,-296.8201,-90.82184,-238.8794,608.4107,199.3286,537.9608,99.45857,90.22161,
sidetoside,108.8434,2.300874,-0.5329129,1.35689,66.40153,11.60882,75.67371,281.9092,43.81409,299.0814,-212.7197,-32.09991,-165.274,494.6289,75.914,464.3554,77.95344,64.81602,
sidetoside,104.9683,3.32779,-2.319432,2.401736,51.23385,30.67213,76.57436,197.7417,180.0613,299.0814,-139.8193,-106.6666,-165.274,337.561,286.7279,464.3554,74.87849,62.00612,
sidetoside,85.25868,-0.5786896,0.204925,0.7869745,37.98275,37.96374,54.5969,180.8899,180.0613,158.7311,-126.0681,-106.6666,-133.3221,306.958,286.7279,292.0532,60.84477,46.51522,
sidetoside,72.65789,0.6068419,-0.2296262,-0.5132269,31.39419,38.05114,47.80809,180.8899,180.0613,138.3179,-91.88232,-106.6666,-133.3221,272.7722,286.7279,271.64,51.48414,45.48808,
sidetoside,81.74661,-2.300872,0.5329125,-1.356886,23.74217,59.39494,58.56311,105.8655,307.2617,239.1479,-88.95264,-237.2559,-265.0055,194.8181,544.5176,504.1534,55.10229,67.02422,
sidetoside,94.09407,-2.393646,2.835979,-0.8542238,60.61419,57.19853,62.96224,222.29,307.2617,239.1479,-297.9858,-237.2559,-265.0055,520.2758,544.5176,504.1534,65.55161,81.40936,
sidetoside,122.5186,0.2053834,0.148964,0.332871,68.40859,59.41851,103.577,222.29,307.2617,315.0085,-297.9858,-237.2559,-563.5742,520.2758,544.5176,878.5828,84.11143,108.9217,
sidetoside,127.8584,0.09620726,-0.01190191,-0.6253426,68.68022,59.39859,107.2088,222.29,307.2617,315.0085,-297.9858,-237.2559,-563.5742,520.2758,544.5176,878.5828,88.91982,108.7775,
sidetoside,121.7043,1.507796,0.1617053,-0.9018329,70.19273,37.98853,104.5548,222.29,93.07556,315.0085,-297.9858,-161.3998,-563.5742,520.2758,254.4754,878.5828,86.84037,98.81146,
sidetoside,102.6202,1.02745,0.4815491,2.946663,44.34842,29.19672,101.1278,118.6462,93.07556,315.0085,-219.6594,-161.3998,-563.5742,338.3056,254.4754,878.5828,71.76671,88.91332,
sidetoside,103.3448,0.06118641,-0.01796713,0.2484905,44.98619,16.0972,88.38764,161.792,62.30469,285.8368,-104.6082,-58.84094,-328.4637,266.4002,121.1456,614.3005,73.42143,68.59016,
sidetoside,98.94897,0.3826127,0.1564409,-0.6168354,44.96104,16.16134,83.95691,161.792,62.30469,285.8368,-104.6082,-58.84094,-328.4637,266.4002,121.1456,614.3005,68.93775,67.67263,
sidetoside,96.67134,2.233886,-0.3726576,-2.917249,47.0778,16.34487,80.07552,161.792,62.30469,285.8368,-118.7683,-58.84094,-328.4637,280.5603,121.1456,614.3005,67.40132,66.0777,
sidetoside,104.7948,1.294936,-0.2512546,0.01773992,53.94114,15.79994,83.89421,161.792,62.30469,285.8368,-130.2063,-58.84094,-328.4637,291.9983,121.1456,614.3005,74.46783,68.21878,
sidetoside,97.92191,1.45294,0.5153275,0.9909436,59.32767,16.18068,72.95137,245.6543,81.98242,261.6425,-130.2063,-42.06543,-278.5034,375.8606,124.0479,540.1459,68.6075,66.33145,
sidetoside,127.7609,0.5443563,0.04966412,-0.15564,61.84811,64.96638,75.32715,245.6543,233.3282,261.6425,-130.2063,-361.85,-278.5034,375.8606,595.1782,540.1459,90.44617,74.42992,
sidetoside,154.3859,-3.538287,0.4907579,3.649863,84.27402,65.74051,96.92152,245.6543,233.3282,392.0227,-319.0979,-361.85,-278.5034,564.7522,595.1782,670.5261,108.3737,95.38828,
sidetoside,149.9909,-0.2429971,-1.553501,-0.4533773,78.60916,77.63158,91.76027,245.6543,233.3282,392.0227,-319.0979,-361.85,-278.5034,564.7522,595.1782,670.5261,104.6878,98.33189,
sidetoside,146.571,-1.922607,-1.805938,-3.255005,88.43887,77.78633,87.32378,197.6807,233.3282,392.0227,-407.3364,-361.85,-322.7386,605.0171,595.1782,714.7613,103.8044,103.633,
sidetoside,151.4562,0.3598787,-1.46782,0.9407043,90.98202,64.32129,91.64135,197.6807,169.4412,392.0227,-407.3364,-204.4724,-322.7386,605.0171,373.9136,714.7613,104.1976,99.79542,
sidetoside,124.1056,-1.796341,-1.34657,1.77208,69.76771,64.64612,70.33757,197.6807,169.4412,215.9149,-407.3364,-204.4724,-322.7386,605.0171,373.9136,538.6535,84.80586,82.52376,
sidetoside,119.7395,0.1551814,1.465226,0.1626594,72.18166,50.80567,70.68011,197.6807,157.9453,215.9149,-407.3364,-196.3867,-322.7386,605.0171,354.332,538.6535,79.15668,80.7682,
sidetoside,121.0111,0.670851,-7.167529,-3.268279,43.39704,92.21305,70.51007,145.1904,157.9453,191.3025,-143.1763,-593.3533,-343.9697,288.3667,751.2986,535.2722,80.24023,94.77464,
sidetoside,111.1249,0.6575001,0.200653,-0.4257572,34.37185,100.4925,70.67106,125.7141,437.9059,264.8682,-143.1763,-593.3533,-343.9697,268.8904,1031.259,608.8379,76.25694,102.2747,
sidetoside,102.1727,0.7737733,0.6627464,-0.1635729,25.29758,100.1589,63.63363,125.7141,437.9059,264.8682,-54.99878,-593.3533,-343.9697,180.7129,1031.259,608.8379,69.81124,99.23945,
sidetoside,120.6968,0.9078976,0.2231794,-0.2917477,43.30141,102.0966,69.46004,142.5476,437.9059,264.8682,-232.2266,-593.3533,-343.9697,374.7742,1031.259,608.8379,81.69382,102.2277,
sidetoside,90.72483,0.02845728,8.293247,3.568,44.41002,64.66863,51.51072,142.5476,437.9059,264.8682,-232.2266,-126.6174,-177.9633,374.7742,564.5233,442.8315,60.01542,72.71378,
sidetoside,133.5462,2.883911,1.279735,1.284253,66.89164,56.40689,110.149,293.3044,187.2055,424.5239,-232.2266,-201.004,-387.0789,525.531,388.2095,811.6028,87.67718,110.0607,
sidetoside,146.9608,-0.1037607,0.2997969,-0.7610359,78.12798,55.97105,114.2442,293.3044,187.2055,424.5239,-232.2266,-201.004,-387.0789,525.531,388.2095,811.6028,98.22287,112.4341,
sidetoside,167.4491,-0.8296178,-0.2738388,0.3339381,93.12675,58.81231,117.8152,308.9478,187.2055,424.5239,-231.1584,-201.004,-387.0789,540.1062,388.2095,811.6028,110.5526,117.4347,
sidetoside,195.2997,-1.180951,-0.2310571,0.08430471,116.4304,59.09215,120.4488,447.5525,187.2055,424.5239,-261.6821,-201.004,-387.0789,709.2346,388.2095,811.6028,132.1451,118.7221,
sidetoside,157.0584,-2.279355,0.6496428,-0.9581739,115.9653,39.74533,72.49681,447.5525,157.8629,201.236,-261.6821,-104.8859,-228.3813,709.2346,262.7488,429.6173,103.9471,97.39087,
sidetoside,148.0848,2.273639,-0.0335695,-1.315687,111.9455,39.89189,65.9221,447.5525,157.8629,201.236,-261.6821,-104.8859,-228.3813,709.2346,262.7488,429.6173,97.59312,94.61163,
sidetoside,119.1997,0.4904945,0.3112224,-0.5802537,96.20023,29.77313,60.07792,447.5525,157.8629,220.1935,-261.6821,-104.8859,-134.1248,709.2346,262.7488,354.3183,80.4234,85.34068,
sidetoside,101.515,1.278458,0.1641658,1.459999,71.0078,29.36621,57.3305,331.0181,157.8629,220.1935,-201.2634,-104.8859,-133.9539,532.2815,262.7488,354.1474,65.82127,69.73251,
sidetoside,70.03435,-1.972579,-0.6199075,-1.043359,50.36713,15.74021,43.6974,141.5894,71.66443,220.1935,-200.7446,-31.41174,-115.9485,342.334,103.0762,336.142,47.07928,49.8294,
sidetoside,63.31407,-1.441344,-0.5673217,1.954077,41.94206,18.90605,42.49578,141.5894,71.66443,220.1935,-200.7446,-60.81848,-115.9485,342.334,132.4829,336.142,41.53278,46.94372,
sidetoside,64.86867,-0.5922694,-0.06414403,0.1438137,35.64138,18.82259,57.69491,141.5894,49.27673,275.116,-143.7073,-60.81848,-241.6718,285.2967,110.0952,516.7878,44.25881,54.72509,
sidetoside,61.40339,-3.594437,-0.7155605,-1.871949,24.94866,22.52579,56.62425,116.2903,71.74988,275.116,-82.95898,-60.81848,-241.6718,199.2493,132.5684,516.7878,42.33468,50.60498,
sidetoside,103.3098,1.492311,0.03057453,1.069832,80.53936,37.30817,68.0526,397.0398,188.5223,275.116,-354.541,-153.8315,-241.6718,751.5808,342.3538,516.7878,70.48756,86.85921,
sidetoside,154.3034,-1.626965,0.3696052,0.133744,110.3354,42.79462,125.4545,397.0398,188.5223,651.7822,-484.4421,-153.8315,-485.3821,881.4819,342.3538,1137.164,104.5387,137.1808,
sidetoside,163.8666,0.2958708,-0.8049213,1.603393,115.0947,42.55931,127.2894,397.0398,188.5223,651.7822,-484.4421,-153.8315,-485.3821,881.4819,342.3538,1137.164,110.6039,137.952,
sidetoside,193.995,3.626712,0.6334097,2.203026,114.677,87.48859,148.028,397.0398,494.0872,651.7822,-484.4421,-435.3729,-500.766,881.4819,929.4601,1152.548,131.6955,159.3489,
sidetoside,167.9477,-1.476057,0.2414888,-0.1773084,93.119,82.44356,144.2502,335.4431,494.0872,651.7822,-484.4421,-435.3729,-500.766,819.8853,929.4601,1152.548,114.9095,151.9023,
sidetoside,124.057,3.08319,0.5129622,-2.95624,58.37865,78.77621,100.6136,216.5588,494.0872,409.0759,-194.5618,-435.3729,-500.766,411.1206,929.4601,909.8419,86.54832,110.7464,
sidetoside,99.49612,0.1160428,1.509189,-2.392121,46.59983,79.15405,83.7925,133.2031,494.0872,409.0759,-194.5618,-435.3729,-500.766,327.7649,929.4601,909.8419,69.53989,103.1034,
sidetoside,97.69188,1.303939,0.4272458,1.393167,52.92198,49.68059,57.13021,181.5674,282.9559,193.7378,-194.5618,-185.3592,-230.368,376.1292,468.3151,424.1058,67.63527,62.94484,
sidetoside,92.38786,0.4338072,0.2689359,-0.619772,43.74859,49.93854,55.55563,181.5674,282.9559,193.7378,-113.1287,-185.3592,-230.368,294.6961,468.3151,424.1058,63.70086,58.62655,
sidetoside,97.45103,-0.6819919,0.06694744,0.5438636,42.3413,52.16666,58.37213,181.5674,282.9559,193.7378,-123.7122,-185.3592,-230.368,305.2796,468.3151,424.1058,65.91645,59.81,
