hips_JNTa_x,hips_JNTa_y,hips_JNTa_z,hips_JNTw_x,hips_JNTw_y,hips_JNTw_z,label,
693.1458,-13959.42,971.5973,-30.71964,63.91098,-48.9499,sidetoside,
-584.9609,15220.29,-1075.613,-0.986805,0.2362061,-0.5355978,sidetoside,
4.632568,-329.1489,39.63623,-0.8221936,0.04669189,-0.2913284,sidetoside,
-10.09521,17.173,0.4272461,-1.037817,0.0189209,-0.2371693,sidetoside,
-33.36182,475.5249,-59.49402,-1.869955,-0.09094238,-0.08845329,sidetoside,
22.33276,-419.0994,40.89966,-1.724691,-0.1203918,0.3974867,sidetoside,
-6.68335,12.1521,-5.050659,-1.990294,-0.2287292,0.6427622,sidetoside,
-23.98071,403.9978,-66.78162,-5.380341,2.09671,7.30103,sidetoside,
51.94702,-981.8939,142.7032,-1.986489,0.6410217,2.879558,sidetoside,
-92.02271,1360.005,-197.7753,-6.927116,3.995667,11.66276,sidetoside,
13.0249,-713.3224,125.7385,-4.316368,3.123169,8.152137,sidetoside,
-55.5481,14.58893,58.60596,-4.686054,5.154114,8.787127,sidetoside,
-34.77783,-87.82806,41.42456,3595.384,5.045624,8.984175,sidetoside,
163.0371,-853.4302,43.12134,-1.492004,3.071289,2.672548,sidetoside,
58.20313,-140.0391,27.05383,-3.947754,12.50702,5.955706,sidetoside,
-0.5249023,25.2655,2.612305,-5.985107,18.36319,0.01190186,sidetoside,
-8.459473,-15.06958,-6.390381,-4.977112,14.82803,-1.883764,sidetoside,
-11.26099,-26.66931,-2.947998,-0.8807373,3.200836,-1.428757,sidetoside,
12.96387,67.15088,52.55737,-1.434631,6.783142,-5.104799,sidetoside,
-13.79395,-38.66882,-16.42761,-0.02655029,4.765167,-3.718529,sidetoside,
-8.532715,-26.30005,-13.23547,0.8157349,3.277588,-2.665043,sidetoside,
-6.47583,-18.98804,17.01965,2.138672,2.485657,-1.217194,sidetoside,
-7.159424,-24.2981,18.21289,3.672485,1.352234,0.6639862,sidetoside,
