hips_JNTa_x,hips_JNTa_y,hips_JNTa_z,hips_JNTw_x,hips_JNTw_y,hips_JNTw_z,
51.29089,-13907.74,1886.954,-27.66394,7.721863,-9.11463,
-57.53632,15210.71,-2085.73,0.186758,-2.791595,0.6323409,
1.986694,-332.4524,43.94531,0.3711748,-2.206421,1.563622,
-0.352478,15.36865,-3.762817,0.5926275,-2.21756,2.132086,
-1.545715,477.4475,-68.64624,1.345215,-3.430786,4.550898,
2.067566,-427.0828,61.42578,1.446743,-2.629395,4.102404,
0.3097534,10.77118,-1.556396,1.801434,-2.772369,4.979119,
-4.438782,399.295,-49.41406,5.319738,-4.292603,8.79194,
4.975891,-981.2012,133.963,2.022429,-1.447296,3.210788,
-2.798462,1352.176,-182.7332,6.45782,-5.144348,8.217025,
3.78418,-715.2298,98.46191,3.826795,-3.013,3.791137,
0.7095337,-0.06103516,5.029297,3.517237,-2.773132,2.499356,
-0.4272461,-92.32788,14.69421,3.430395,-2.535858,2.076559,
1.443481,-837.4451,115.6342,0.7432747,-0.193634,-0.02662182,
4.998779,-177.0111,69.16199,0.7863903,1.357117,-2.053671,
-5.627441,-5.404663,44.99207,-1.285067,3.580322,-1.1235,
4.570007,-7.104492,-11.99951,-1.558161,3.225403,-0.4940844,
-2.55127,13.58643,-73.29712,-0.7468033,0.9942627,0.4299641,
1.296997,-3.997803,14.17542,-2.427063,2.721558,2.019496,
-1.696777,2.883911,-16.09497,-2.505293,2.4086,2.083373,
-1.158142,2.416992,-10.40649,-2.405472,2.081451,2.000537,
2.500916,1.049805,-2.79541,-2.901978,2.635956,2.033734,
3.025818,1.446533,-3.62854,-3.366923,3.188477,1.959324,
-1.268005,3.90625,-16.36658,-4.523697,4.552765,1.25205,
-1.170349,10.61096,-60.6842,-11.31866,12.02454,0.1712322,
-2.606201,-8.914185,33.17566,-5.951562,6.500702,-1.344109,
-1.544189,-2.639771,12.25281,-3.804612,4.330597,-2.538462,
1.405334,0.07019043,-2.514648,-3.540406,4.022827,-2.839718,
5.314636,1.885986,-9.274292,-2.997019,3.340302,-3.93702,
1.734924,-0.4821777,-10.18982,-3.469987,3.836212,-4.85208,
0.2304077,3.662109,8.71582,-1.79997,1.695557,-4.085994,
-0.2426147,-4.980469,0.0793457,-1.780972,1.682281,-4.059248,
-6.735229,-3.210449,32.901,0.1308775,-1.570587,-1.911492,
6.069946,-6.530762,12.92419,0.7133436,-2.301941,-0.6918573,
-13.29956,5.004883,35.21729,1.62761,-2.131958,3.605423,
-0.6072998,-2.868652,4.01001,1.822217,-2.388458,4.056873,
-1.843262,-2.001953,2.246094,2.166395,-1.788177,4.642024,
-0.7385254,-4.040527,4.049683,2.403445,-1.987457,5.200005,
-0.5783081,-4.095459,27.40784,3.054826,-1.917114,4.744339,
1.040649,-4.244995,-1.580811,2.89578,-1.700745,4.175525,
-12.60223,-16.87622,-3.771973,4.920592,-3.827515,0.6753683,
5.371094,-20.27893,36.06567,4.891438,-3.870087,0.2277517,
1.716614,13.08594,-41.47339,3.642936,-3.598175,-0.9146118,
-0.4806519,14.64844,-28.2135,2.86685,-3.763123,-2.167454,
4.975891,6.359863,-12.00867,1.812372,-3.059998,-1.207433,
-3.245544,-9.967041,4.394531,2.210588,-4.447021,-1.302676,
5.027771,6.52771,-10.36072,1.239281,-3.496552,-0.124712,
1.977539,2.581787,-4.940796,0.8099318,-3.092346,0.4125834,
7.749939,-4.391479,-12.89368,-0.4068565,-6.135712,2.288265,
9.09729,10.5835,-15.59753,-1.705818,-6.414948,3.366179,
4.528809,18.83545,-8.056641,-2.108903,-4.290771,2.521152,
7.771301,21.38367,-10.08301,-2.769408,-2.236786,1.77321,
1.951599,12.73499,-15.24048,-3.368273,-1.928406,1.975985,
-2.839661,8.673096,-11.09009,-3.45377,-1.013794,1.795287,
0.730896,2.487183,-8.096313,-3.823462,-0.8607483,2.028227,
-8.004761,0.6378174,0.3662109,-3.743882,-0.1765442,2.015638,
-6.259155,3.430176,9.439087,-5.074935,0.8999634,2.560244,
-42.45758,13.17749,-22.84851,-7.008026,5.420837,2.772245,
8.711243,-29.89807,9.512329,-5.868752,4.838562,1.986723,
-13.99231,-27.95715,45.3949,-2.070959,3.284912,-2.074928,
18.55316,-4.470825,13.11646,-1.123602,1.795044,-1.126299,
-29.40369,-4.495239,13.20496,-2.64683,4.001465,-6.664853,
22.18475,-5.957031,11.19995,-1.412308,2.086334,-4.916162,
-13.75122,-7.962036,35.7605,-1.845992,0.9738159,-10.39901,
14.91699,2.792358,-12.16125,-1.123207,0.2946472,-7.124715,
2.270508,-8.236694,17.52319,-1.755925,-2.208862,-12.76727,
-13.37891,-26.38855,29.15649,-2.881038,-4.58786,-22.0612,
31.14014,34.82666,-78.9917,-1.347896,-2.150879,-5.69988,
3.639221,4.718018,-8.19397,-1.116509,-1.77475,-3.634773,
8.163452,9.515381,-1.748657,-1.072507,-0.4457092,-0.6350148,
4.194641,3.607178,-2.999878,-1.308724,-0.06072998,0.3178453,
3.848267,8.099365,-5.511475,-1.118828,0.6523132,2.049398,
3.582764,4.718018,-5.413818,-1.139022,1.104126,3.183949,
29.65393,20.20264,-47.96753,-1.641831,3.052979,9.899704,
