label,Average_energy,Acceleration_mean(3-axis)_x,Acceleration_mean(3-axis)_y,Acceleration_mean(3-axis)_z,Acceleration_std(3-axis)_x,Acceleration_std(3-axis)_y,Acceleration_std(3-axis)_z,Acceleration_max(3-axis)_x,Acceleration_max(3-axis)_y,Acceleration_max(3-axis)_z,Acceleration_min(3-axis)_x,Acceleration_min(3-axis)_y,Acceleration_min(3-axis)_z,Acceleration_pv(3-axis)_x,Acceleration_pv(3-axis)_y,Acceleration_pv(3-axis)_z,Synthetic_acceleration_mean,Synthetic_acceleration_std,
walk,525,0.299816,0.02875032,-0.2622574,13.12283,2317.119,317.0406,51.29089,15210.71,1886.954,-57.53632,-13907.74,-2085.73,108.8272,29118.45,3972.684,459.0908,2293.244,
walk,37.27296,0.3760337,0.9726717,-1.291847,11.923,14.28501,26.23174,41.29333,52.66113,60.87036,-42.45758,-29.89807,-82.50427,83.75092,82.5592,143.3746,24.95301,20.35748,
walk,45.58388,0.5547334,0.5488211,-0.9498594,15.81937,17.38708,27.59978,59.64661,52.66113,60.87036,-42.45758,-33.27026,-82.50427,102.1042,85.93139,143.3746,29.38828,21.26384,
walk,65.06884,0.7729148,0.1392367,-0.004349279,21.67743,30.29372,45.8442,65.08331,137.265,172.5739,-65.08331,-137.265,-172.5739,130.1666,274.53,345.1478,41.24934,42.28971,
walk,77.57231,-0.326042,-0.09780872,0.02063723,23.14048,33.51112,51.63299,65.08331,137.265,172.5739,-65.08331,-137.265,-172.5739,130.1666,274.53,345.1478,49.28787,43.53463,
walk,80.12431,-0.6896974,-1.22139,1.498184,25.12704,33.34212,52.61834,65.08331,137.265,172.5739,-69.35272,-137.265,-172.5739,134.436,274.53,345.1478,50.82574,43.96258,
walk,79.90599,-1.280632,-1.023789,0.5545806,24.01661,33.31831,53.39469,65.08331,137.265,172.5739,-69.35272,-137.265,-172.5739,134.436,274.53,345.1478,50.96142,44.08889,
walk,65.87864,-0.5963137,-0.8694838,1.227379,21.2003,22.57826,41.77562,50.32959,53.44849,121.5851,-69.35272,-64.60571,-78.66516,119.6823,118.0542,200.2503,42.626,29.83413,
walk,55.60471,-0.5038264,-0.1023861,-0.009879947,19.66953,18.53485,34.78346,50.32959,41.43066,96.86584,-69.35272,-47.18323,-70.98083,119.6823,88.61389,167.8467,35.80511,25.66277,
walk,51.68862,0.6994625,0.2956392,-0.5886074,18.85279,17.04333,34.76992,51.66931,41.43066,89.16016,-49.50104,-39.47754,-110.2203,101.1703,80.9082,199.3805,33.67306,26.86817,
walk,55.33054,1.053123,1.252899,-1.24073,22.65423,19.49202,38.3975,61.87897,84.27429,89.16016,-87.94556,-49.9939,-162.5336,149.8245,134.2682,251.6938,35.97367,32.82734,
walk,50.74489,0.8164975,1.165009,-1.380577,21.2774,18.93493,35.73623,61.87897,84.27429,89.16016,-87.94556,-49.9939,-162.5336,149.8245,134.2682,251.6938,32.92187,31.75559,
walk,49.79994,0.539417,0.1556015,-0.01426673,20.44868,18.63353,36.79952,61.87897,84.27429,96.38672,-87.94556,-49.9939,-162.5336,149.8245,134.2682,258.9203,33.05474,32.05091,
walk,48.61842,-0.6755638,-0.199089,0.2499767,21.9671,18.91179,33.30975,61.87897,84.27429,96.38672,-95.58258,-49.9939,-162.5336,157.4615,134.2682,258.9203,32.45339,29.95138,
walk,49.23931,-0.3921506,-0.9797289,1.659966,22.48858,16.6092,37.6287,107.3914,47.82104,121.1823,-95.58258,-50.8606,-170.3735,202.974,98.68164,291.5558,33.1446,33.20881,
walk,49.87029,-1.159458,-0.5738832,0.7657248,22.45506,17.0951,38.00655,107.3914,47.82104,121.1823,-95.58258,-50.8606,-170.3735,202.974,98.68164,291.5558,33.85458,33.12247,
walk,51.83783,0.7646375,0.06935106,0.00690546,26.00374,16.99398,37.34486,107.3914,47.82104,121.1823,-95.58258,-50.8606,-170.3735,202.974,98.68164,291.5558,34.73048,33.97075,
walk,63.77529,0.2442175,0.8814621,-0.951041,25.91357,24.65905,46.75019,107.3914,80.59082,152.7008,-92.56592,-84.7168,-170.3735,199.9573,165.3076,323.0743,42.70042,40.54107,
walk,55.6885,0.349941,0.5504988,-0.9953684,23.37755,23.75099,37.71215,70.01801,80.59082,152.7008,-92.56592,-84.7168,-95.31555,162.5839,165.3076,248.0164,37.37351,33.7263,
